rank,name,director,score,score_num,quote
107,第六感,M·奈特·沙马兰,8.9,478120,深入内心的恐怖，出人意料的结局。
108,幽灵公主,宫崎骏,8.9,461288,人与自然的战争史诗。
109,重庆森林,王家卫,8.8,689682,寂寞没有期限。
110,小森林 夏秋篇,森淳一,9.0,368091,那些静得只能听见呼吸的日子里，你明白孤独即生活。
111,阳光灿烂的日子,姜文,8.8,536275,一场华丽的意淫。
112,爱在黎明破晓前,理查德·林克莱特,8.8,555840,缘分是个连绵词，最美不过一瞬。
113,一一,杨德昌,9.1,312495,我们都曾经是一一。
114,蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰,8.8,619511,诺兰就是保证。
115,菊次郎的夏天,北野武,8.8,504999,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
116,哈利·波特与密室,Chris,8.8,602036,魔法的密室之门已打开...
117,消失的爱人,大卫·芬奇,8.7,791391,年度最佳date movie。
118,超能陆战队,唐·霍尔,8.7,873770,Balalala~~~
119,无人知晓,是枝裕和,9.1,263309,我的平常生活就是他人的幸福。
120,小森林 冬春篇,森淳一,9.0,329023,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
121,完美的世界,克林特·伊斯特伍德,9.1,256222,坏人的好总是比好人的好来得更感人。
122,倩女幽魂,程小东,8.7,637988,两张绝世的脸。 
123,爱在日落黄昏时,理查德·林克莱特,8.9,458765,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
124,侧耳倾听,近藤喜文,8.9,399319,少女情怀总是诗。
125,借东西的小人阿莉埃蒂,米林宏昌,8.9,473202,曾经的那段美好会沉淀为一辈子的记忆。
126,甜蜜蜜,陈可辛,8.9,450652,相逢只要一瞬间，等待却像是一辈子。
127,萤火之森,大森贵弘,8.9,451941,触不到的恋人。
128,驯龙高手,迪恩·德布洛斯,8.7,659246,和谐的生活离不开摸头与被摸头。
129,幸福终点站,史蒂文·斯皮尔伯格,8.8,477430,有时候幸福需要等一等。 
130,玛丽和马克思,亚当·艾略特,8.9,381808,你是我最好的朋友，你是我唯一的朋友 。
131,时空恋旅人,理查德·柯蒂斯,8.8,533972,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
132,大鱼,蒂姆·波顿,8.8,498197,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
133,怪兽电力公司,彼特·道格特,8.7,570287,不要给它起名字，起了名字就有感情了。
134,告白,中岛哲也,8.8,603685,没有一人完全善，也没有一人完全恶。
135,阳光姐妹淘,姜炯哲,8.8,535077,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
136,射雕英雄传之东成西就,刘镇伟,8.7,557433,百看不厌。 
137,神偷奶爸,皮艾尔·柯芬,8.6,834961,Mr. I Don't Care其实也有Care的时候。
138,傲慢与偏见,乔·怀特,8.7,679576,爱是摈弃傲慢与偏见之后的曙光。
139,教父3,弗朗西斯·福特·科波拉,9.0,310244,任何信念的力量，都无法改变命运。
140,玩具总动员3,李·昂克里奇,8.9,439049,跨度十五年的欢乐与泪水。
141,釜山行,延尚昊,8.6,1028745,揭露人性的丧尸题材力作。
142,恐怖直播,金秉祐,8.7,564201,恐怖分子的“秋菊打官司”。
143,一个叫欧维的男人决定去死,汉内斯·赫尔姆,8.9,374213,惠及一生的美丽。
144,哪吒闹海,王树忱,9.1,220070,想你时你在闹海。
145,被解救的姜戈,昆汀·塔伦蒂诺,8.8,522446,热血沸腾，那个低俗、性感的无耻混蛋又来了。
146,血战钢锯岭,梅尔·吉布森,8.7,688477,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
147,未麻的部屋,今敏,9.0,260234,好的剧本是，就算你猜到了结局也猜不到全部。
148,头号玩家,史蒂文·斯皮尔伯格,8.7,1192671,写给影迷，动漫迷和游戏迷的一封情书。
149,我是山姆,杰茜·尼尔森,9.0,279889,爱并不需要智商 。
150,七武士,黑泽明,9.3,166845,时代悲歌。
151,寄生虫,奉俊昊,8.8,1186040,
152,喜宴,李安,8.9,297292,中国家庭的喜怒哀乐忍。
153,新世界,朴勋政,8.9,330087,要做就做得狠一点，这样才能活下去。
154,电锯惊魂,詹姆斯·温,8.7,453072,真相就在眼前。
155,模仿游戏,莫滕·泰杜姆,8.7,538667,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
156,哈利·波特与火焰杯,迈克·内威尔,8.7,521910,
157,黑客帝国3：矩阵革命,拉娜·沃卓斯基,8.8,380457,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
158,花样年华,王家卫,8.7,506567,偷情本没有这样美。
159,卢旺达饭店,特瑞·乔治,8.9,276931,当这个世界闭上双眼，他却敞开了怀抱。
160,上帝之城,费尔南多·梅里尔斯,9.0,267002,被上帝抛弃了的上帝之城。
161,三块广告牌,马丁·麦克唐纳,8.7,717657,怼天怼地，你走后，她与世界为敌。
162,风之谷,宫崎骏,8.9,318074,动画片的圣经。
163,疯狂原始人,科克·德·米科,8.7,743384,老少皆宜，这就是好莱坞动画的魅力。
164,谍影重重3,保罗·格林格拉斯,8.8,367911,像吃了苏打饼一样干脆的电影。
