职位名称,工作地点,招聘状态,参考薪资,学历经验,公司名称,公司信息,联系人
Kotlin/Java工程师/高级/资深/专家,广州,,25-50k·14薪,5-10年本科及以上,小鹏汽车,|汽车/摩托车|美股上市|10000人以上|,刘先生
java wcs工程师,广州,,12-17k,经验不限大专及以上,广州市金码信息科技有限公司,|1-49人|,贺先生
Java开发工程师,广州,,9-14k,1-3年本科及以上,广东天凛高新科技有限公司,|房地产/建筑|50-99人|,宋女士
JAVA开发工程师（广州）,广州-天河区,,13-20k,3-5年本科及以上,中孚信息,|计算机软件|沪深A股上市|500-999人|,吕先生
Java开发高级/资深工程师,广州-天河区,,18-35k,5-10年统招本科,小鹏汽车,|汽车/摩托车|美股上市|10000人以上|,谭女士
Java后台开发（大平台+六险三金）,广州-天河区,,12-24k·17薪,5-10年统招本科,联通软件研究院,|通信业|融资未公开|2000-5000人|,倪女士
资深java工程师,广州-番禺区,,20-40k·16薪,5-10年本科及以上,永盛人力集团,|人力资源|1000-2000人|,陈女士
Java后端开发工程师,广州-番禺区,,25-35k·16薪,3-5年本科及以上,永盛人力集团,|人力资源|1000-2000人|,陈女士
高级Java开发工程师,广州,,20-30k,5-10年本科及以上,今托管,|在线教育|100-499人|,关先生
Java后端开发工程师（社交电商岗位） (MJ004476),广州,,15-30k·13薪,3-5年统招本科,欢聚集团,|互联网/电商|美股上市|2000-5000人|,曾女士
Java开发工程师 (MJ004472),广州-番禺区,,15-30k·13薪,3-5年统招本科,欢聚集团,|互联网/电商|美股上市|2000-5000人|,曾女士
java后端开发工程师,广州,,12-20k,3-5年本科及以上,元知智慧建设科技有限公司,|互联网+|50-99人|,王先生
中高级java工程师,广州-天河区,,13-17k,3-5年本科及以上,广东德生科技股份有限公司,|互联网/电商|中小板上市|1000-2000人|,梁先生
java高级开发工程师,广州-海珠区,,15-20k,3-5年统招本科,广州智购科技有限公司,|新零售|100-499人|,黄女士
java开发工程师,广州-天河区,,15-20k·13薪,5-10年本科及以上,广州伊创科技股份有限公司,|仪器/电气/自动化|新三板上市|100-499人|,李女士
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
资深java开发工程师,广州,,28-40k·13薪,5-10年大专及以上,领健信息,|互联网/电商|C轮|100-499人|,祁女士
Java工程师 (MJ000695),广州-海珠区,,12-15k·14薪,经验不限本科及以上,锦江电商,|电子商务|融资未公开|500-999人|,刘先生
java技术经理,广州,,20-30k,5-10年本科及以上,广州智能科技发展有限公司,|计算机软件|融资未公开|100-499人|,刘女士
高级Java开发工程师 (MJ004451),广州,,25-45k·13薪,5-10年统招本科,欢聚集团,|互联网/电商|美股上市|2000-5000人|,曾女士
java开发工程师,广州,,13-20k,经验不限大专及以上,三盟,|IT服务|500-999人|,李女士
java中高级开发工程师,广州,,13-20k,3-5年本科及以上,三盟,|IT服务|500-999人|,梁女士
java高级工程师,广州-黄埔区,,13-18k,3-5年统招本科,广州中科讯龙科技有限公司,|计算机软件|50-99人|,刘女士
java,广州,,9-15k,1-3年本科及以上,广州聚超软件科技有限公司,|计算机软件|融资未公开|1-49人|,黄女士
java中级开发工程师,广州-番禺区,,10-15k,1-3年大专及以上,尚捷智慧云,|计算机软件|100-499人|,李先生
java高级开发工程师,广州-番禺区,,10-15k,5-10年大专及以上,尚捷智慧云,|计算机软件|100-499人|,李先生
Java开发工程师,广州-天河区,,13-18k,3-5年大专及以上,北京神州泰岳软件股份有限公司,|计算机软件|创业板上市|2000-5000人|,钟女士
Java开发工程师,广州-海珠区,,10-12k·13薪,1-3年大专及以上,广州市联兆基因科技有限公司,|医疗器械|100-499人|,朱女士
java中级开发工程师,广州-白云区,,6-12k,3-5年大专及以上,云果信息,|计算机软件|融资未公开|1-49人|,梁女士
（3-5年）Java开发工程师,广州-白云区,,13-17k,3-5年本科及以上,中科汇联,|IT服务|100-499人|,高女士
Java工程师,广州-黄埔区,,10-15k,3-5年本科及以上,高勘(广州)技术有限公司,|通信技术提供商|A轮|50-99人|,沈女士
EAM项目部Java开发组长,广州-天河区,,18-23k·13薪,5-10年本科及以上,赛意信息,|计算机软件|创业板上市|2000-5000人|,黄女士
Java开发工程师,广州-海珠区,,15-20k,1-3年本科及以上,广信通信,|通信业|5000-10000人|,陈女士
JAVA开发工程师（初级）,广州,,7-12k,1-3年大专及以上,广州白云金融控股集团有限公司,|基金|100-499人|,张女士
高级java开发工程师,广州,,17-25k,5-10年统招本科,壹链盟,|金融科技|战略投资|100-499人|,徐先生
Java开发,广州,,14-28k·14薪,5-10年统招本科,杰创智能科技股份有限公司,|IT服务|已上市|100-499人|,赵女士
高级Java开发工程师,广州-荔湾区,,18-36k·14薪,5-10年本科及以上,唯品会(中国),|互联网/电商|美股上市|10000人以上|,HR
java开发工程师（中高级）,广州-天河区,,9-14k·13薪,1-3年本科及以上,玄武科技,|计算机软件|其他|500-999人|,陈女士
Java开发工程师,广州,,12-24k·14薪,3-5年本科及以上,唯品会(中国),|互联网/电商|美股上市|10000人以上|,HR
java高级软件工程师,广州-黄埔区,,15-20k,3-5年本科及以上,广东中设智控科技股份有限公司,|计算机软件|融资未公开|50-99人|,郭女士
Java API Developer (Guangzhou),广州,,20-40k·13薪,5-10年本科及以上,国际商业机器全球服务(大连)有限公司,|IT服务|10000人以上|,纪女士
中高级JAVA开发,广州-番禺区,,15-20k,5-10年大专及以上,广州盛原成科技,|企业服务软件|A轮|100-499人|,方女士
中高级JAVA开发工程师,广州-黄埔区,,18-30k·14薪,5-10年统招本科,广州青鹿教育科技有限公司,|计算机软件|融资未公开|100-499人|,高女士
高级Java开发工程师,广州,,20-30k·14薪,5-10年本科及以上,广州青鹿教育科技有限公司,|计算机软件|融资未公开|100-499人|,高女士
java开发工程师【大平台+六险三金】 (MJ000172),广州-天河区,,15-25k·17薪,5-10年统招本科,联通软件研究院,|通信业|融资未公开|2000-5000人|,倪女士
高级Java开发工程师（电商） (MJ004187),广州-番禺区,,25-45k·13薪,5-10年统招本科,欢聚集团,|互联网/电商|美股上市|2000-5000人|,曾女士
高级JAVA开发工程师（协同办公）,广州-海珠区,,15-30k·15薪,3-5年统招本科,中国电信云公司,|互联网/电商|其他|100-499人|,阳女士
java开发工程师,广州,,10-18k·13薪,经验不限大专及以上,广州汇柏软件科技有限公司,|计算机软件|50-99人|,江女士
中级后端开发工程师（JAVA后台开发方向）,广州,,15-25k·15薪,3-5年统招本科,中国电信云公司,|互联网/电商|其他|100-499人|,阳女士
高级后端开发工程师（JAVA后台开发方向）,广州,,15-30k·15薪,5-10年统招本科,中国电信云公司,|互联网/电商|其他|100-499人|,阳女士
高级java开发工程师（微服务/DevOps产品）,广州-海珠区,,15-30k·15薪,3-5年统招本科,中国电信云公司,|互联网/电商|其他|100-499人|,阳女士
java开发经理,广州,,40-50k·13薪,5-10年本科及以上,细刻科技,|电子商务|B轮|1000-2000人|,吴先生
高级java开发工程师,广州-番禺区,,15-30k·13薪,3-5年统招本科,易方,|计算机软件|其他|100-499人|,谢女士
java开发（佛山美的 集团项目）,广州-天河区,,13-18k,3-5年本科及以上,上海易立德信息技术股份有限公司,|计算机软件|融资未公开|1000-2000人|,陆女士
资深java架构师,广州,,25-40k·13薪,5-10年本科及以上,细刻科技,|电子商务|B轮|1000-2000人|,吴先生
java软件开发工程师,广州,,9-16k·13薪,3-5年统招本科,信华生物药业(广州)有限公司,|制药/生物工程|1-49人|,汪女士
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
高级java开发工程师,广州-天河区,,18-36k,3-5年本科及以上,软通动力技术服务,|互联网/电商|10000人以上|,刘先生
Java中级开发工程师 (MJ000010),广州-番禺区,,10-15k,3-5年本科及以上,中大凯旋,|计算机软件|战略投资|100-499人|,巫先生
Java开发经理 (MJ000025),广州-番禺区,,20-35k,5-10年大专及以上,中大凯旋,|计算机软件|战略投资|100-499人|,巫先生
Java开发工程师 (MJ003997),广州,,15-30k·13薪,3-5年统招本科,欢聚集团,|互联网/电商|美股上市|2000-5000人|,曾女士
Java,广州-天河区,,18-25k·13薪,5-10年本科及以上,四千里数据科技有限公司,|电商服务|B轮|100-499人|,李女士
java开发工程师,广州-黄埔区,,10-15k,3-5年本科及以上,广州西麦科技股份有限公司,|计算机软件|新三板上市|100-499人|,刘女士
高级Java开发工程师 (MJ004050),广州-番禺区,,20-40k·13薪,3-5年统招本科,欢聚集团,|互联网/电商|美股上市|2000-5000人|,曾女士
中高级java服务端工程师（合成休闲类）,广州,,10-20k,1-3年大专及以上,黑胡子,|游戏开发|其他|100-499人|,黄女士
java开发讲师,广州-天河区,,8-16k,一年以下大专及以上,广州市靖凯开源软件技术有限公司,|批发零售|,李女士
初中级java开发工程师,广州-海珠区,,9-15k,1-3年大专及以上,领雁科技,|计算机软件|500-999人|,陈女士
Java开发工程师【央企+六险三金+双休】,广州-天河区,,13-25k·16薪,5-10年本科及以上,联通软件研究院,|通信业|融资未公开|2000-5000人|,倪女士
JAVA开发工程师,广州-天河区,,10-15k,3-5年大专及以上,一九八三,|批发零售|100-499人|,陈女士
java开发工程师,广州-越秀区,,10-20k,1-3年本科及以上,申迪,|计算机软件|100-499人|,祝女士
java软件工程师,广州-南沙区,,6-12k·13薪,1-3年本科及以上,广州紫川电子科技有限公司,|教育培训|融资未公开|50-99人|,曾女士
初级java开发工程师,广州-海珠区,,8-10k·13薪,1-3年本科及以上,广东亿迅科技有限公司,|计算机软件|1000-2000人|,唐女士
中级java开发工程师,广州-海珠区,,10-15k·13薪,3-5年本科及以上,广东亿迅科技有限公司,|计算机软件|1000-2000人|,唐女士
java开发工程师,广州,,15-30k,3-5年统招本科,软通动力技术服务,|互联网/电商|10000人以上|,刘先生
Java开发工程师 (MJ003930),广州-番禺区,,20-35k·13薪,5-10年统招本科,欢聚集团,|互联网/电商|美股上市|2000-5000人|,曾女士
中级Java开发工程师,广州-天河区,,10-15k,3-5年本科及以上,嘉为科技,|企业服务软件|B轮|500-999人|,卢先生
java开发工程师,广州,,13-20k·13薪,3-5年统招本科,嘉为科技,|企业服务软件|B轮|500-999人|,卢先生
JAVA开发工程师(广州),广州,,10-13k,1-3年统招本科,赞同科技股份有限公司,|IT服务|2000-5000人|,姚女士
JAVA开发运维工程师,广州-黄埔区,,10-15k·14薪,3-5年统招本科,广州慧扬健康科技有限公司,|IT服务|融资未公开|100-499人|,雷女士
Java高级研发工程师（ZH）,广州,,10-13k,5-10年本科及以上,联奕科技,|计算机软件|500-999人|,吴女士
java开发工程师-产品组,广州-天河区,,12-16k,1-3年本科及以上,泛华金控,|保险|美股上市|2000-5000人|,高女士
java开发工程师,广州-天河区,,10-14k,3-5年本科及以上,泛华金控,|保险|美股上市|2000-5000人|,高女士
Java开发工程师（包吃住）,广州-增城区,,7-11k,1-3年大专及以上,索菲亚家居,|家具/家电|沪深A股上市|10000人以上|,姜女士
资深java开发工程师,广州-天河区,,18-28k,5-10年大专及以上,上海易立德信息技术股份有限公司,|计算机软件|融资未公开|1000-2000人|,陆女士
ERP中级系统开发工程师(Java),广州-增城区,,8-10k,1-3年本科及以上,索菲亚家居,|家具/家电|沪深A股上市|10000人以上|,姜女士
高级Java开发工程师/Java架构师（电商） (MJ001479),广州,,30-50k·13薪,5-10年本科及以上,欢聚集团,|互联网/电商|美股上市|2000-5000人|,曾女士
Java开发工程师（电商） (MJ003288),广州,,20-40k·13薪,3-5年本科及以上,欢聚集团,|互联网/电商|美股上市|2000-5000人|,曾女士
