职位名称,工作地点,招聘状态,参考薪资,学历经验,公司名称,公司信息,联系人
java开发工程师,武汉-洪山区,,12-24k·16薪,3-5年本科及以上,武汉中海庭数据技术有限公司,|计算机软件|100-499人|,柯女士
Java项目经理,武汉,,10-15k,5-10年本科及以上,武汉新烽光电股份有限公司,|仪器/电气/自动化|已上市|100-499人|,汤女士
Java中级开发工程师,武汉-洪山区,,7-10k,3-5年本科及以上,广州智选网络科技有限公司,|O2O服务|A轮|100-499人|,林女士
服务端开发经理（go/java),武汉-洪山区,,30-60k·14薪,5-10年本科及以上,金山办公软件,|互联网/电商|已上市|2000-5000人|,黎女士
高级JAVA开发工程师+智慧城市+软硬件集成+五险一金,武汉,,10-20k,3-5年大专及以上,蓝泰源,|IT服务|100-499人|,易女士
java研发工程师,武汉-洪山区,,7-15k,3-5年大专及以上,苍穹数码,|计算机软件|融资未公开|2000-5000人|,徐女士
java后台开发工程师,武汉,,10-15k,3-5年大专及以上,武汉昊广智联科技有限公司,|人工智能|战略投资|50-99人|,沈女士
Java/Python/Php开发工程师,武汉,,11-20k,经验不限本科及以上,智线云科技(北京)有限公司,|互联网/电商|A轮|100-499人|,高女士
Java开发工程师,武汉-汉阳区,,12-20k·14薪,5-10年本科及以上,九州通健康科技集团有限公司,|电子商务|2000-5000人|,曹女士
Java开发工程师,武汉,,10-15k·13薪,1-3年统招本科,华工赛百,|IT服务|100-499人|,彭女士
软件开发工程师（Java高级）,武汉,,10-20k·14薪,3-5年本科及以上,浙江和达科技股份有限公司,|IT服务|其他|100-499人|,吴女士
软件开发工程师（Java中级）,武汉,,7-14k·14薪,1-3年大专及以上,浙江和达科技股份有限公司,|IT服务|其他|100-499人|,吴女士
中高级java开发工程师,武汉,,10-18k,3-5年本科及以上,智线云科技(北京)有限公司,|互联网/电商|A轮|100-499人|,HR
软件工程师（Java/php/python),武汉,,8-15k,1-3年本科及以上,智线云科技(北京)有限公司,|互联网/电商|A轮|100-499人|,HR
高级java工程师,武汉,,18-25k·13薪,5-10年本科及以上,武汉木仓信息技术有限公司,|互联网/电商|100-499人|,王先生
java开发工程师,武汉-洪山区,,8-16k·14薪,3-5年统招本科,智线云科技(北京)有限公司,|互联网/电商|A轮|100-499人|,HR
腾讯会议Go/Java开发工程师,武汉,,15-30k·16薪,3-5年学历不限,腾讯云研,|互联网/电商|已上市|10000人以上|,陈先生
java开发,武汉-汉阳区,,14-20k,经验不限大专及以上,武汉某新能源汽车,|汽车/摩托车|5000-10000人|,张先生
java工程师,武汉-东西湖区,,15-25k·15薪,3-5年统招本科,医药物流上市公司,|交通/物流/运输|已上市|10000人以上|,黄女士
中级java开发工程师,武汉-洪山区,,12-24k,3-5年统招本科,武汉某有限公司,|企业安全|融资未公开|1-49人|,王女士
java,武汉,,15-25k,3-5年统招本科,**科技有限公司,|计算机软件|融资未公开|1-49人|,许女士
java,武汉,,30-40k,经验不限统招本科,某大型寿险公司,|保险|2000-5000人|,陈女士
java高级工程师,武汉,,15-25k·15薪,3-5年统招本科,海搜科技(深圳)有限公司武汉分公司,|行业Saas|50-99人|,曾女士
高级java开发工程师,武汉-蔡甸区,,20-26k·13薪,3-5年统招本科,北京中科铭天信息技术有限公司,|计算机软件|其他|100-499人|,李女士
高级java开发工程师,武汉-洪山区,,15-25k,经验不限统招本科,北京中科铭天信息技术有限公司,|汽车/摩托车|不需要融资|1000-2000人|,夏女士
java开发工程师（银行外包）,武汉-江岸区,,11-20k,1-3年本科及以上,维度金融,|互联网金融|5000-10000人|,王女士
java开发,武汉,,15-20k,1-3年本科及以上,某国企建设投资有限公司,|房地产/建筑|2000-5000人|,董先生
java,武汉,,15-25k·15薪,1-3年统招本科,武汉某公司,|大数据|D轮及以上|1000-2000人|,凡女士
java高级工程师,武汉,,20-30k·14薪,5-10年学历不限,某知名公司,|基金/证券/投资|1000-2000人|,范先生
java工程师,武汉,,18-35k·13薪,1-3年学历不限,某知名互联网公司,|文娱/内容平台|D轮及以上|1000-2000人|,邹女士
C++/JAVA/Python,武汉-洪山区,,15-30k,3-5年统招本科,腾讯科技（深圳）有限公司,|互联网/电商|已上市|10000人以上|,王先生
资深JAVA/架构师,武汉-洪山区,,30-50k·13薪,5-10年统招本科,木仓科技,|互联网+|天使轮|500-999人|,王先生
java工程师,武汉,,12-20k,3-5年统招本科,天地伟业技术有限公司,|电子/芯片/半导体|战略融资|5000-10000人|,侯女士
java开发,武汉,,10-15k,5-10年统招本科,信息化咨询公司,|IT服务|融资未公开|100-499人|,封女士
中级java开发工程师,武汉-江汉区,,10-15k·13薪,3-5年统招本科,国内某知名科技有限公司,|在线教育|100-499人|,张女士
高级Java工程师,武汉,,15-25k·13薪,3-5年大专及以上,武1,|互联网/电商|100-499人|,蒋先生
java架构师,武汉,,25-30k,3-5年统招本科,大型人工智能企业,|人工智能|融资未公开|5000-10000人|,许女士
 高级JAVA研发工程师(互联网头部企业）,武汉,,40-60k·14薪,3-5年统招本科,某大型互联网头部公司,|计算机软件|已上市|10000人以上|,陈先生
资深java工程师,武汉,,20-30k,3-5年统招本科,武汉某数字技术有限公司,|企业服务软件|100-499人|,许女士
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Java架构师,武汉,,20-30k·14薪,3-5年统招本科,中国智能语音与人工智能高科技公司,|互联网/电商|10000人以上|,杨先生
高级Java研发工程师-订单系统,武汉,,20-40k·14薪,3-5年本科及以上,知名互联网公司,|智能硬件|10000人以上|,徐先生
