职位名称,工作地点,招聘状态,参考薪资,学历经验,公司名称,公司信息,联系人
java开发工程师,南京-建邺区,,20-35k·19薪,5-10年统招本科,某知名上市互联网金融公司,|互联网金融|已上市|2000-5000人|,蔡女士
java,南京,,18-35k·14薪,经验不限统招本科,南京某互联网公司,|互联网/电商|B轮|100-499人|,王先生
java工程师,南京,,15-20k,1-3年统招本科,某知名互联网公司,|互联网/电商|其他|1000-2000人|,刘女士
java高级工程师,南京,,15-25k,5-10年统招本科,某知名通信公司,|通信设备|10000人以上|,居女士
java研发工程师,南京-秦淮区,,17-30k·14薪,3-5年统招本科,Yum,|餐饮品牌|已上市|10000人以上|,蔡女士
java技术专家,南京,,25-40k·13薪,5-10年本科及以上,某跨境电商互联网公司,|电子商务|D轮及以上|10000人以上|,李先生
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
234362 Java 架构师,南京-建邺区,,30-40k·16薪,5-10年统招本科,杭州知名互联网公司,|电子商务|其他|500-999人|,董女士
java开发工程师,南京-雨花台区,,20-40k·14薪,3-5年本科及以上,知名互联网公司,|互联网/电商|融资未公开|10000人以上|,邓女士
资深Java工程师（订单）,南京-雨花台区,,20-35k,5-10年本科及以上,SHEIN,|电子商务|10000人以上|,杨女士
java高级软件工程师,南京-雨花台区,,15-20k·13薪,5-10年统招本科,亚信科技,|通信业|10000人以上|,黄先生
Java中级开发工程师,南京-六合区,,13-18k,1-3年本科及以上,南京康龙威科技实业有限公司,|医疗器械|50-99人|,杨女士
高级Java开发工程师NJ (MJ000057),南京-建邺区,,15-30k·14薪,5-10年本科及以上,通联数据,|计算机软件|其他|100-499人|,周先生
Java开发高级工程师,南京-雨花台区,,15-30k,5-10年本科及以上,中铱数字科技有限公司,|计算机软件|1-49人|,吴女士
java开发工程师,南京-鼓楼区,,8-10k,3-5年本科及以上,中数通信息,|通信技术提供商|1000-2000人|,段女士
Java开发,南京,,20-40k·20薪,5-10年统招本科,国内某头部证券公司,|基金/证券/投资|已上市|1000-2000人|,刘女士
资深java工程师,南京-建邺区,,20-40k·24薪,经验不限统招本科,某知名头部金融公司,|互联网金融|已上市|5000-10000人|,李先生
高级Java开发工程师,南京,,23-45k·14薪,5-10年统招本科,某互联网国企,|互联网/电商|其他|100-499人|,令女士
高级java开发工程师,南京-建邺区,,30-60k,3-5年本科及以上,某大型互联网金融,|基金/证券/投资|已上市|10000人以上|,严女士
高级java工程师,南京,,20-25k,5-10年本科及以上,知名物流央企平台,|交通/物流/运输|融资未公开|100-499人|,汪女士
java高级开发工程师,南京,,12-20k,3-5年本科及以上,D5渲染器,|互联网/电商|A轮|1-49人|,孙女士
java高级开发工程师,南京,,面议,5-10年统招本科,南京轩恩软件开发有限公司,|计算机软件|融资未公开|50-99人|,叶先生
Java（华为CBG项目）,南京,,11-22k,1-3年统招本科,拍库(北京)科技有限公司,|电子商务|C轮|100-499人|,闪女士
java后端开发,南京,,15-30k·14薪,3-5年本科及以上,亚信科技,|通信业|10000人以上|,王女士
java开发工程师,南京,,15-35k,3-5年本科及以上,皓行科技,|计算机软件|港股上市|10000人以上|,宋先生
JAVA高级开发工程师,南京-雨花台区,,9-15k,3-5年本科及以上,江苏泓航信息技术有限公司,|计算机软件|50-99人|,施女士
JAVA中级开发工程师,南京-雨花台区,,8-15k,1-3年大专及以上,江苏泓航信息技术有限公司,|计算机软件|50-99人|,施女士
java研发工程师,南京,,11-22k·14薪,1-3年统招本科,Flow++,|计算机软件|B轮|100-499人|,陈女士
java高级工程师,南京-江宁区,,15-25k·13薪,5-10年本科及以上,南京讯思雅信息科技有限公司,|计算机软件|,孟女士
java开发工程师,南京-雨花台区,,15-20k·13薪,3-5年统招本科,南京森根科技股份有限公司,|计算机软件|100-499人|,赵女士
资深Java服务器开发,南京,,20-30k,5-10年本科及以上,南京虎趣网络科技有限公司,|游戏产业|50-99人|,张女士
高级Java技术经理（游戏）,南京,,20-30k,3-5年本科及以上,南京虎趣网络科技有限公司,|游戏产业|50-99人|,张女士
高级Java开发（游戏）,南京,,15-25k,3-5年本科及以上,南京虎趣网络科技有限公司,|游戏产业|50-99人|,张女士
Java开发（游戏）,南京,,10-20k,3-5年本科及以上,南京虎趣网络科技有限公司,|游戏产业|50-99人|,张女士
Java技术经理（社区/论坛）,南京,,20-30k,5-10年本科及以上,南京虎趣网络科技有限公司,|游戏产业|50-99人|,张女士
Java开发工程师（社区/论坛）,南京,,15-25k,3-5年本科及以上,南京虎趣网络科技有限公司,|游戏产业|50-99人|,张女士
java,南京-玄武区,,12-25k,3-5年统招本科,环球车享,|互联网/电商|100-499人|,汪女士
java开发,南京-雨花台区,,9-14k,经验不限本科及以上,中科院沈苏公司,|计算机软件|B轮|100-499人|,钱女士
Java开发工程师（出差）,南京-雨花台区,,12-24k,3-5年本科及以上,浩鲸云计算科技股份有限公司,|计算机软件|5000-10000人|,岳女士
Java开发工程师,南京-雨花台区,,12-24k,3-5年本科及以上,浩鲸云计算科技股份有限公司,|计算机软件|5000-10000人|,岳女士
java后端开发工程师,南京-雨花台区,,15-25k·14薪,1-3年统招本科,清研讯科(北京)科技有限公司,|通信业|B轮|100-499人|,黄女士
java开发工程师,南京,,10-11k,3-5年本科及以上,江苏群杰物联科技有限公司,|计算机软件|B轮|100-499人|,李先生
java工程师,南京,,14-18k,3-5年本科及以上,中关村智联软件服务业质量创新联盟,|IT服务|1-49人|,苏女士
中级java开发工程师,南京-雨花台区,,10-17k,3-5年大专及以上,上海谷赢,|IT服务|50-99人|,陈女士
java开发工程师,南京,,25-35k,经验不限本科及以上,紫金集团,|银行|100-499人|,管女士
java软件工程师,南京-雨花台区,,12-16k,3-5年本科及以上,天阳宏业,|计算机软件|已上市|5000-10000人|,王女士
java后端开发,南京,,12-15k·13薪,1-3年本科及以上,华设设计集团股份有限公司,|规划/设计/装潢|已上市|2000-5000人|,查女士
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Java开发工程师,南京-雨花台区,,12-13k,1-3年本科及以上,南京榕树自动化,|仪器/电气/自动化|1-49人|,俞女士
高级java开发工程师,南京-江宁区,,12-30k,3-5年统招本科,软通动力技术服务,|互联网/电商|10000人以上|,赵先生
Java工程师,南京,,8-15k,3-5年大专及以上,托付保(南京)电力技术有限公司,|能源/水利|50-99人|,魏女士
软件工程师(Java/C++等语言可转),南京,,12-22k·13薪,3-5年本科及以上,慧咨环球(中国)信息技术有限公司,|计算机软件|已上市|100-499人|,臧女士
java开发工程师,南京,,15-30k,3-5年统招本科,软通动力技术服务,|互联网/电商|10000人以上|,刘先生
java开发工程师,南京-雨花台区,,15-25k,5-10年统招本科,努比亚,|通信业|500-999人|,韩女士
中级java开发工程师,南京-雨花台区,,10-18k,1-3年本科及以上,擎盾数据,|计算机软件|C轮|500-999人|,张先生
高级java开发工程师,南京-雨花台区,,25-40k,5-10年统招本科,满帮集团,|互联网/电商|5000-10000人|,李女士
高级java开发工程师,南京-浦口区,,15-20k,5-10年本科及以上,江苏荣泽信息科技股份有限公司,|互联网/电商|A轮|100-499人|,杨先生
资深Java开发工程师,南京-雨花台区,,24-28k,5-10年统招本科,开鑫科技有限公司,|基金/证券/投资|100-499人|,曹女士
Java研发组长,南京,,20-25k,5-10年本科及以上,天与养老,|互联网+|A轮|100-499人|,郭女士
java,南京-雨花台区,,12-25k,3-5年统招本科,南京翼海云峰软件技术有限公司,|计算机软件|100-499人|,潘女士
Java开发工程师,南京-建邺区,,10-15k,3-5年本科及以上,浙江万维空间信息技术有限公司,|计算机软件|100-499人|,倪女士
Java全栈工程师（中级）,南京,,12-17k,5-10年本科及以上,北京开科唯识技术股份有限公司,|计算机软件|A轮|1000-2000人|,徐女士
Java中级工程师,南京,,10-18k·14薪,3-5年统招本科,擎天科技南京,|IT服务|500-999人|,HR
Java初级工程师,南京,,8-16k·14薪,1-3年统招本科,擎天科技南京,|IT服务|500-999人|,HR
java技术开发经理,南京-浦口区,,8-15k,3-5年大专及以上,帛丝云商,|IT服务|融资未公开|100-499人|,贾女士
Java高级软件工程师,南京-浦口区,,10-18k·13薪,3-5年本科及以上,诺思格(北京)医药科技股份有限公司,|制药/生物工程|1000-2000人|,郭女士
Java开发工程师,南京-雨花台区,,8-16k,1-3年统招本科,擎盾数据,|计算机软件|C轮|500-999人|,张先生
java开发工程师,南京,,8-20k·14薪,1-3年统招本科,擎天科技南京,|IT服务|500-999人|,HR
JAVA开发工程师,南京-雨花台区,,11-18k,1-3年统招本科,中元健康科技有限公司,|移动医疗|融资未公开|100-499人|,常女士
资深java开发工程师,南京-雨花台区,,11-18k,1-3年学历不限,医疗健康行业前端品牌,|互联网/电商|融资未公开|100-499人|,耿先生
java高级开发工程师,南京,,20-40k,5-10年本科及以上,南京上市互联网平台,|互联网/电商|500-999人|,胡女士
JAVA开发工程师,南京-雨花台区,,11-18k·13薪,1-3年统招本科,某大型智慧医疗科技公司,|开发者服务|融资未公开|100-499人|,方女士
JAVA开发工程师,南京-雨花台区,,11-18k·13薪,1-3年统招本科,对点咨询,|人力资源|融资未公开|100-499人|,喻女士
java开发,南京-江宁区,,17-30k·13薪,5-10年统招本科,国内知名互联网公司,|车载智能硬件|10000人以上|,林女士
高级java开发工程师,南京-玄武区,,13-15k·15薪,1-3年统招本科,迪比信可信息技术服务(南京)有限公司,|IT服务|融资未公开|100-499人|,凌女士
资深JAVA开发,南京-江宁区,,12-15k·14薪,3-5年统招本科,某知名互联网公司,|计算机软件|B轮|50-99人|,满先生
Java开发工程师,南京,,20-40k·14薪,1-3年统招本科,Honor,|互联网/电商|战略融资|10000人以上|,崔女士
java开发工程师,南京,,20-40k,3-5年本科及以上,某知名物流运输集团公司,|交通/物流/运输|已上市|5000-10000人|,卢女士
java后端开发,南京,,20-40k·13薪,经验不限统招本科,餐饮管理解决方案技术公司,|计算机软件|融资未公开|100-499人|,陈先生
java开发工程师,南京-雨花台区,,18-25k·13薪,1-3年硕士及以上,某金融国企,|计算机软件|A轮|500-999人|,吴先生
Java开发工程师,南京,,35-55k·15薪,1-3年本科及以上,某互联网公司,|互联网+|融资未公开|2000-5000人|,程先生
高级java开发工程师,南京-雨花台区,,20-25k·15薪,经验不限统招本科,国内某知名通信公司,|通信设备|已上市|10000人以上|,李女士
java高级工程师,南京,,15-18k,经验不限学历不限,垃圾终端处置行业大智慧,|环保|融资未公开|100-499人|,徐先生
java高级开发工程师,南京-六合区,,25-45k,5-10年统招本科,某国企科技公司,|工业自动化|已上市|100-499人|,张先生
java开发工程师,南京-雨花台区,,10-15k·13薪,3-5年统招本科,中元健康科技（世轩科技--医疗软件）,|企业服务软件|100-499人|,凌女士
java开发工程师,南京,,15-25k·14薪,经验不限统招本科,某内某大型互联网公司,|人工智能|融资未公开|10000人以上|,谢先生
java技术经理（电商）,南京-江宁区,,20-40k,5-10年统招本科,某网络科技有限公司,|互联网/电商|融资未公开|100-499人|,李先生
java,南京,,20-25k·14薪,3-5年统招本科,南京某知名互联网公司,|互联网/电商|2000-5000人|,肖女士
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
高级java工程师,南京-江宁区,,25-35k·15薪,经验不限本科及以上,国内知名云软件服务商,|云服务|已上市|10000人以上|,李先生
java后端开发,南京,,15-20k·13薪,1-3年大专及以上,某科技公司,|大数据|A轮|50-99人|,蒋女士
235693高级java工程师,南京-建邺区,,20-25k·15薪,5-10年统招本科,知名汽车外资南京分公司,|IT服务|B轮|100-499人|,董女士
237370 java技术专家,南京-建邺区,,30-40k·16薪,5-10年统招本科,知名互联网公司,|互联网/电商|B轮|500-999人|,董女士
java,南京,,15-30k,3-5年统招本科,某新大型互联网公司,|互联网/电商|已上市|100-499人|,林女士
java软件工程师,南京,,14-17k·15薪,3-5年学历不限,知名综合物流服务商,|计算机软件|融资未公开|100-499人|,高女士
Java架构师,南京,,20-30k·14薪,3-5年统招本科,中国智能语音与人工智能高科技公司,|互联网/电商|10000人以上|,杨先生
高级java工程师,南京,,30-50k·14薪,5-10年统招本科,ZL科技公司,|互联网/电商|C轮|1000-2000人|,李先生
JAVA(政务，数字化系统，交易平台),南京,,30-40k·15薪,5-10年本科及以上,某头部银行科技公司,|互联网金融|1000-2000人|,谢先生
JAVA工程师,南京-雨花台区,,8-12k,3-5年大专及以上,江苏舜昊健康产业集团有限公司,|医疗器械|100-499人|,陈先生
JAVA研发工程师（管培生）,南京-雨花台区,,10-16k,一年以下本科及以上,南京硅基智能科技有限公司,|互联网/电商|C轮|100-499人|,周先生
java开发,南京-玄武区,,11-22k,3-5年统招本科,京北方信息,|IT服务|已上市|10000人以上|,万先生
java后端开发工程师,南京-江宁区,,15-25k·13薪,3-5年统招本科,星诺大气环境科技(南京)有限公司,|专业服务|100-499人|,金女士
java开发,南京-建邺区,,11-15k,1-3年本科及以上,京北方信息,|IT服务|已上市|10000人以上|,万先生
java开发工程师,南京-江宁区,,10-20k,3-5年本科及以上,南京诚创科技系统有限公司,|房地产/建筑|融资未公开|50-99人|,吉女士
java开发工程师,南京-江宁区,,11-18k·14薪,3-5年统招本科,南京前知智能科技有限公司,|物联网|A轮|50-99人|,唐先生
Java开发工程师-NJ(J10153),南京-雨花台区,,15-25k,3-5年本科及以上,德比软件,|互联网/电商|100-499人|,韩女士
java工程师,南京,,10-12k,1-3年本科及以上,万邦医药,|制药/生物工程|2000-5000人|,HR
Java后端开发岗位,南京-雨花台区,,12-18k,3-5年本科及以上,亚信科技,|通信业|10000人以上|,陈女士
JAVA专家,南京-雨花台区,,25-35k,10年以上本科及以上,南京硅基智能科技有限公司,|互联网/电商|C轮|100-499人|,周先生
中级JAVA工程师,南京,,21-25k·14薪,3-5年统招本科,货车之家(南京)科技有限公司,|物联网|50-99人|,袁先生
java开发工程师,南京-秦淮区,,8-15k,1-3年统招本科,广州天维信息技术股份有限公司,|计算机软件|新三板上市|500-999人|,张女士
java高级工程师,南京-江宁区,,15-25k,5-10年本科及以上,拓攻(南京)机器人有限公司,|航空/航天|100-499人|,王女士
java 工程师,南京-江宁区,,10-30k,3-5年统招本科,软通动力技术服务,|互联网/电商|10000人以上|,陈先生
java,南京-建邺区,,30-50k·13薪,经验不限硕士及以上,国内知名金融机构,|金融科技|已上市|5000-10000人|,王女士
JAVA工程师-南京,南京-建邺区,,15-20k·13薪,经验不限统招本科,知名移动互联网创新型企业,|互联网/电商|B轮|100-499人|,刘女士
java,南京,,20-35k·20薪,3-5年统招本科,某知名证券公司,|互联网/电商|2000-5000人|,狄女士
java开发,南京-雨花台区,,11-17k,5-10年统招本科,知名上市外包企业,|计算机软件|融资未公开|10000人以上|,冒女士
java开发高级技术专家,南京-建邺区,,40-70k·16薪,5-10年学历不限,阿里系某公司,|企业服务软件|A轮|500-999人|,柴先生
Java,南京,,20-30k,5-10年统招本科,JSZK,|人工智能|融资未公开|100-499人|,孙女士
Java开发工程师,南京-江宁区,,15-20k·14薪,3-5年本科及以上,优速网络科技,|计算机软件|融资未公开|100-499人|,HR
Java,南京,,17-21k·13薪,经验不限统招本科,天逸财金科技服务（武汉）有限公司,|银行|A轮|500-999人|,汪女士
JAVA开发,南京-建邺区,,7-10k,1-3年大专及以上,杭州汇晨科技有限公司,|计算机软件|融资未公开|100-499人|,邵先生
java高级开发工程师,南京,,25-50k·20薪,3-5年统招本科,南京某证券公司,|基金/证券/投资|5000-10000人|,蒋先生
高级java开发工程师,南京,,15-25k,5-10年本科及以上,亚寰股份,|计算机软件|50-99人|,王先生
Java开发工程师（早9晚6，周末双休）,南京-江宁区,,12-24k,1-3年本科及以上,软通动力,|互联网/电商|10000人以上|,黄先生
Java开发工程师,南京-鼓楼区,,10-20k,3-5年大专及以上,可康户外用品,|贸易/进出口|100-499人|,陈女士
JAVA开发工程师,南京-秦淮区,,10-18k·15薪,1-3年统招本科,南京莱斯网信技术研究院有限公司,|计算机软件|100-499人|,孙女士
JAVA开发高级工程师,南京-秦淮区,,15-25k·15薪,5-10年统招本科,南京莱斯网信技术研究院有限公司,|计算机软件|100-499人|,孙女士
java开发工程师,南京-雨花台区,,20-40k,1-3年统招本科,荣耀终端有限公司,|互联网/电商|天使轮|10000人以上|,郑女士
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
java开发工程师,南京,,15-24k·13薪,3-5年本科及以上,普华永道信息技术,|IT服务|10000人以上|,鲍女士
java开发工程师,南京-鼓楼区,,20-35k,3-5年大专及以上,北京睿企信息科技有限公司,|计算机软件|其他|50-99人|,梁佳
java开发工程师,南京-建邺区,,15-45k,3-5年统招本科,荣耀终端有限公司,|互联网/电商|天使轮|10000人以上|,苏女士
JAVA开发工程师,南京,,15-30k,3-5年本科及以上,博智安全科技股份有限公司,|网络安全|C轮|100-499人|,居女士
java开发工程师,南京-玄武区,,15-25k,3-5年本科及以上,好享家舒适智能家居股份有限公司,|批发零售|100-499人|,刘女士
Java开发工程师,南京-栖霞区,,15-20k,5-10年大专及以上,国内知名互联网公司,|AI行业应用|其他|100-499人|,顾女士
java工程师,南京-建邺区,,15-20k·13薪,1-3年统招本科,外勤365,|互联网/电商|B轮|100-499人|,柯女士
java开发,南京,,20-40k·13薪,1-3年本科及以上,外勤365,|互联网+|B轮|100-499人|,蒲女士
java,南京,,15-30k·14薪,经验不限大专及以上,MPSD,|互联网/电商|其他|100-499人|,李先生
Java高级开发工程师,南京-雨花台区,,20-40k·15薪,经验不限统招本科,荣耀终端有限公司,|互联网/电商|天使轮|10000人以上|,鲍先生
中级java开发工程师,南京-雨花台区,,18-25k,3-5年统招本科,佰钧成技术,|计算机软件|融资未公开|5000-10000人|,陈先生
Java开发工程师,南京-浦口区,,12-25k,5-10年本科及以上,南京富岛信息工程有限公司,|计算机软件|100-499人|,相女士
