职位名称,工作地点,招聘状态,参考薪资,学历经验,公司名称,公司信息,联系人
数据分析工程师（Java方向）,上海-闵行区,,20-30k,5-10年统招本科,晟碟半导体,|电子/芯片/半导体|2000-5000人|,迟女士
java开发,上海-浦东新区,,10-14k·14薪,经验不限大专及以上,天马微电子,|电子/芯片/半导体|沪深A股上市|10000人以上|,宋先生
Java开发工程师,上海,,15-20k,5-10年大专及以上,上海排阿婆信息科技有限公司,|电子商务|100-499人|,孔先生
Java后端开发工程师,上海,,12-20k,3-5年统招本科,中科三清科技有限公司,|计算机软件|其他|100-499人|,陈女士
高级java开发工程师,上海,,16-26k,5-10年大专及以上,中软国际科技,|IT服务|10000人以上|,邢女士
Java开发工程师（A)1029,上海,,11-20k·13薪,一年以下本科及以上,上海邦定智慧科技有限公司,|计算机软件|100-499人|,陈女士
Java开发工程师1029（B),上海,,11-20k·13薪,一年以下本科及以上,上海邦定智慧科技有限公司,|计算机软件|100-499人|,陈女士
java后台开发工程师,上海-浦东新区,,15-20k,经验不限大专及以上,司羿智能,|医疗器械|天使轮|50-99人|,陈女士
java,上海-浦东新区,,17-26k·13薪,3-5年统招本科,中科软,|计算机软件|已上市|5000-10000人|,袁女士
java开发工程师,上海-闵行区,,16-22k·13薪,1-3年统招本科,美莱投资,|医疗/保健/美容|2000-5000人|,肖先生
java工程师,上海-徐汇区,,20-30k·13薪,5-10年本科及以上,北京蔚领时代科技有限公司,|互联网/电商|A轮|100-499人|,呼先生
高级java工程师,上海-长宁区,,15-30k·14薪,5-10年统招本科,厦门市宜车时代信息技术有限公司,|O2O服务|C轮|1000-2000人|,郑女士
java开发工程师,上海,,12-24k,1-3年本科及以上,深圳市雪球科技有限公司,|互联网/电商|50-99人|,倪女士
java,上海-浦东新区,,15-20k,3-5年大专及以上,上海谷赢,|IT服务|50-99人|,陈女士
JAVA开发工程师,上海-浦东新区,,10-25k·14薪,3-5年统招本科,芯寻科技,|芯片/集成电路|50-99人|,王女士
中高级java开发工程师,上海,,15-25k·13薪,3-5年统招本科,顶昂科技,|汽车后市场|100-499人|,陈女士
初级java工程师,上海,,10-14k·13薪,1-3年统招本科,顶昂科技,|汽车后市场|100-499人|,陈女士
资深Java开发工程师 (MJ002567),上海,,20-50k,5-10年统招本科,德邦证券,|基金/证券/投资|2000-5000人|,王女士
java开发工程师【上海】,上海-浦东新区,,14-25k,3-5年大专及以上,博云,|计算机软件|D轮|500-999人|,韩女士
中级java工程师（3年经验）,上海-浦东新区,,14-18k·13薪,3-5年统招本科,宝德融资租赁(上海)有限公司,|租赁服务|1000-2000人|,岳女士
高级java 开发工程师 (MJ001406),上海,,20-35k·16薪,经验不限统招本科,德邦证券,|基金/证券/投资|2000-5000人|,李先生
资深JAVA开发--项目负责人 (MJ001492),上海,,25-45k·16薪,5-10年统招本科,德邦证券,|基金/证券/投资|2000-5000人|,李先生
Java开发工程师,上海-静安区,,10-20k,3-5年大专及以上,上海媛福达贸易有限公司,|快消品|500-999人|,张女士
java开发工程师,上海-浦东新区,,15-25k,3-5年本科及以上,鸿之微科技(上海)股份有限公司,|计算机软件|50-99人|,吕女士
中级JAVA开发工程师（3年）,上海-浦东新区,,14-17k·13薪,1-3年统招本科,宝德融资租赁(上海)有限公司,|租赁服务|1000-2000人|,岳女士
高级java开发工程师,上海-浦东新区,,20-25k·13薪,3-5年统招本科,宝德融资租赁(上海)有限公司,|租赁服务|1000-2000人|,岳女士
java高级工程师,上海,,15-25k,3-5年统招本科,德银天下股份有限公司,|互联网+|融资未公开|2000-5000人|,孙先生
Java软件工程师,上海,,20-35k,3-5年统招本科,天睿信科技术(北京)有限公司,|IT服务|5000-10000人|,左先生
JAVA开发工程师,上海-静安区,,15-25k·13薪,3-5年统招本科,名筑科技信息有限公司,|B2B|1-49人|,王女士
高级Java开发工程师 (MJ000022),上海,,面议,5-10年统招本科,快仓智能,|人工智能|C轮|500-999人|,任女士
java开发工程师,上海-静安区,,15-30k,3-5年统招本科,名筑科技信息有限公司,|B2B|1-49人|,单女士
java工程师,上海,,13-25k,1-3年统招本科,兴业数金,|互联网金融|500-999人|,黄女士
java开发工程师,上海,,15-20k·13薪,3-5年本科及以上,湃道智能,|智能安防|A轮|1-49人|,梅女士
java高级开发工程师,上海,,13-26k,经验不限统招本科,中软国际科技,|IT服务|10000人以上|,邢女士
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
资深java开发工程师,上海-静安区,,30-40k·15薪,经验不限统招本科,上海第一财经数据科技有限公司,|大数据|融资未公开|100-499人|,赵女士
高级java工程师,上海-长宁区,,15-30k·15薪,3-5年本科及以上,在机场,|互联网+|融资未公开|1000-2000人|,沈先生
高级Java技术专家,上海-浦东新区,,15-22k·14薪,5-10年本科及以上,中汇亿达,|计算机软件|100-499人|,钱女士
高级Java开发工程师,上海-长宁区,,25-35k·14薪,3-5年统招本科,数数信息科技(上海)有限公司,|数据服务商|B轮|100-499人|,张女士
java资深开发（OA软件+甲方上市公司）,上海,,17-35k·15薪,3-5年本科及以上,泛微,|计算机软件|沪深A股上市|5000-10000人|,HR
后端开发工程师（Java）,上海,,18-25k,3-5年本科及以上,欣和,|快消品|5000-10000人|,唐女士
java开发经理/专家（薪酬系统方向）,上海,,20-40k,3-5年本科及以上,泛微,|计算机软件|沪深A股上市|5000-10000人|,HR
Java Developer,上海,,30-35k,5-10年统招本科,花旗,|计算机软件|2000-5000人|,邱女士
java开发工程师,上海-浦东新区,,14-20k,3-5年本科及以上,天阳宏业,|计算机软件|已上市|5000-10000人|,王女士
java开发经理（档案管理方向）,上海,,25-45k·15薪,3-5年本科及以上,泛微,|计算机软件|沪深A股上市|5000-10000人|,HR
Java中级开发工程师（J000530）,上海,,10-15k,3-5年本科及以上,上海银雁科技服务有限公司,|银行|500-999人|,朱女士
资深Java开发工程师,上海-虹口区,,20-30k·18薪,3-5年统招本科,小微环球(上海)科技有限公司,|互联网/电商|1-49人|,HR
高级Java工程师,上海-嘉定区,,15-25k·14薪,1-3年统招本科,天际汽车,|汽车/摩托车|1000-2000人|,翟先生
java后端开发,上海,,15-30k,3-5年大专及以上,LoveAd,|广告营销|融资未公开|50-99人|,李女士
java开发工程师,上海,,15-30k,3-5年大专及以上,LoveAd,|广告营销|融资未公开|50-99人|,李女士
