职位名称,工作地点,招聘状态,参考薪资,学历经验,公司名称,公司信息,联系人
对日JAVA软件开发(初中级),杭州,,6-13k·13薪,1-3年大专及以上,求贤宝,|IT服务|100-499人|,黄女士
对日JAVA软件开发(中高级SE),杭州,,13-20k·13薪,3-5年大专及以上,求贤宝,|IT服务|100-499人|,黄女士
JAVA全栈工程师,杭州,,10-15k,1-3年大专及以上,杭州世平信息科技有限公司,|计算机软件|B轮|100-499人|,丁先生
Java开发工程师（交通大脑）,杭州-滨江区,,12-20k·14薪,1-3年本科及以上,中控信息,|IT服务|500-999人|,刘女士
国际化中台-高级JAVA开发工程师/专家-支付结算,杭州,,面议,3-5年学历不限,阿里巴巴集团,|互联网/电商|港股上市|10000人以上|,HR
国际化中台-高级JAVA开发工程师-创新业务,杭州,,面议,3-5年学历不限,阿里巴巴集团,|互联网/电商|港股上市|10000人以上|,HR
java开发工程师,杭州-上城区,,14-18k,3-5年本科及以上,天阳宏业,|计算机软件|已上市|5000-10000人|,王女士
java,杭州,,13-18k,3-5年大专及以上,杭州卓软科技有限公司,|计算机软件|100-499人|,董女士
Java开发工程师,杭州-余杭区,,15-25k·13薪,3-5年本科及以上,梭子蟹精酿啤酒(上海)有限公司,|食品饮料|,吴女士
（高级/专家）java开发工程师,杭州-西湖区,,18-35k·15薪,3-5年本科及以上,e签宝,|企业服务软件|D轮|500-999人|,陈先生
（资深）java开发工程师,杭州-西湖区,,15-35k·15薪,3-5年本科及以上,e签宝,|企业服务软件|D轮|500-999人|,陈先生
高级java开发工程师,杭州-西湖区,,20-35k·15薪,3-5年本科及以上,e签宝,|企业服务软件|D轮|500-999人|,陈先生
资深java开发工程师,杭州-西湖区,,25-35k·15薪,3-5年本科及以上,e签宝,|企业服务软件|D轮|500-999人|,陈先生
高级/资深java开发,杭州-西湖区,,20-40k·14薪,5-10年统招本科,婚礼纪,|互联网+|D轮|1000-2000人|,李女士
java开发工程师,杭州-余杭区,,10-25k·14薪,1-3年统招本科,东方国信科技北京,|计算机软件|已上市|2000-5000人|,张女士
java开发岗（国富）,杭州,,20-28k·16薪,3-5年本科及以上,永安期货,|基金/证券/投资|新三板上市|1000-2000人|,陈女士
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
技术培训工程师（云计算/大数据/AI/鲲鹏（java）/鸿蒙）,杭州-滨江区,,15-30k·16薪,3-5年统招本科,浙江华为,|通信业|融资未公开|500-999人|,方先生
高级java开发工程师,杭州-余杭区,,30-60k·16薪,3-5年统招本科,阿里巴巴集团,|互联网/电商|港股上市|10000人以上|,陈女士
Java开发工程师,杭州-上城区,,11-18k,3-5年统招本科,卓健信息科技,|互联网/电商|100-499人|,汪女士
资深Java开发工程师（杭州）,杭州,,18-30k·16薪,5-10年本科及以上,网易集团,|互联网/电商|已上市|10000人以上|,和先生
java开发工程师,杭州,,15-25k,3-5年大专及以上,新唐信通(浙江)科技有限公司,|通信业|50-99人|,刘先生
java开发工程师,杭州-西湖区,,15-25k·14薪,3-5年本科及以上,婚礼纪,|互联网+|D轮|1000-2000人|,宣女士
高级java开发工程师,杭州,,20-30k·16薪,5-10年大专及以上,惠瀜科技,|金融科技|B轮|100-499人|,陈先生
阿里集团-高级JAVA开发工程师/技术专家 -DevOps工具及平台开发-共享出行,杭州,,面议,3-5年学历不限,阿里巴巴集团,|互联网/电商|港股上市|10000人以上|,HR
资深java开发工程师,杭州-余杭区,,25-35k·14薪,5-10年统招本科,广州探迹科技有限公司,|互联网/电商|B轮|1000-2000人|,林女士
java开发,杭州,,12-25k,3-5年本科及以上,中电金信,|计算机软件|其他|10000人以上|,张女士
java工程师,杭州-西湖区,,9-20k,3-5年本科及以上,艺高文化,|知识付费|100-499人|,孔女士
java开发工程师,杭州-西湖区,,15-30k·14薪,1-3年统招本科,婚礼纪,|互联网+|D轮|1000-2000人|,李女士
Aliexpress-高级Java开发工程师/专家-AE技术,杭州,,面议,3-5年学历不限,阿里巴巴集团,|互联网/电商|港股上市|10000人以上|,HR
java开发工程师,杭州,,15-30k·17薪,1-3年统招本科,同花顺财经,|互联网/电商|已上市|2000-5000人|,黄先生
