职位名称,工作地点,招聘状态,参考薪资,学历经验,公司名称,公司信息,联系人
Java工程师,北京,,15-20k,3-5年本科及以上,北京中欣银宝通支付服务有限公司,|O2O服务|战略投资|100-499人|,伊先生
java工程师,北京-朝阳区,,10-14k,1-3年大专及以上,美兰德,|专业服务|50-99人|,孙女士
java研发工程师,北京-海淀区,,10-22k·13薪,1-3年统招本科,亚信科技,|通信业|10000人以上|,张女士
高级Java开发工程师,北京-朝阳区,,25-45k·15薪,3-5年本科及以上,美团,|互联网/电商|港股上市|10000人以上|,李女士
Java开发工程师_北京中台,北京-朝阳区,,15-30k·14薪,经验不限大专及以上,深圳市雪球科技有限公司,|互联网/电商|50-99人|,倪女士
JAVA开发 工程师（IoT）,北京-大兴区,,30-45k·14薪,3-5年统招本科,京东科技集团,|人工智能|10000人以上|,白女士
Senior Java Developer,北京-朝阳区,,面议,5-10年本科及以上,维瑞联行车联网科技(北京)有限公司,|计算机软件|500-999人|,张女士
java开发工程师,北京-朝阳区,,15-20k,1-3年本科及以上,山水云图,|农业信息化|A轮|1-49人|,刘先生
高级java开发工程师,北京-朝阳区,,25-30k,5-10年大专及以上,山水云图,|农业信息化|A轮|1-49人|,刘先生
JAVA架构师,北京-海淀区,,40-50k,5-10年统招本科,天瑞集团,|采掘/冶炼/矿产|10000人以上|,赵女士
资深java开发工程师,北京,,25-35k,5-10年本科及以上,北京中欣银宝通支付服务有限公司,|O2O服务|战略投资|100-499人|,伊先生
java高级开发,北京-海淀区,,21-41k,5-10年统招本科,中软国际科技,|IT服务|10000人以上|,孙女士
Java开发高级工程师,北京-东城区,,15-30k·13薪,3-5年统招本科,深圳顺丰泰森控股(集团)有限公司,|交通/物流/运输|10000人以上|,李女士
JAVA架构师（风险或数据系统）,北京-大兴区,,40-70k·14薪,5-10年统招本科,京东科技集团,|人工智能|10000人以上|,白女士
java架构师,北京-大兴区,,30-50k·14薪,5-10年统招本科,京东科技集团,|人工智能|10000人以上|,白女士
JAVA架构师-北京,北京-石景山区,,20-30k,5-10年本科及以上,领雁科技,|计算机软件|500-999人|,陈女士
java开发工程师,北京-朝阳区,,18-22k·18薪,5-10年统招本科,大唐财富,|投资理财|其他|2000-5000人|,杨女士
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
java开发工程师,北京-朝阳区,,18-22k·18薪,5-10年统招本科,大唐财富,|投资理财|其他|2000-5000人|,杨女士
JAVA服务器开发工程师,北京-海淀区,,15-30k,3-5年大专及以上,广州乐牛游戏,|游戏开发|100-499人|,张女士
java,北京-东城区,,20-40k,5-10年本科及以上,新片场,|影视文化|新三板上市|100-499人|,靳女士
java架构师,北京-石景山区,,15-28k·13薪,5-10年本科及以上,领雁科技,|计算机软件|500-999人|,陈女士
java架构师,北京-丰台区,,15-28k·13薪,5-10年本科及以上,领雁科技,|计算机软件|500-999人|,陈女士
中高级java开发工程师,北京,,15-25k·14薪,3-5年统招本科,中科天玑数据科技股份有限公司,|互联网/电商|战略投资|100-499人|,李女士
源代码审计工程师（java开发）,北京-丰台区,,9-13k,1-3年大专及以上,北京国舜科技股份有限公司,|计算机软件|其他|100-499人|,齐女士
高级java开发工程师,北京-海淀区,,18-22k,5-10年大专及以上,北京惠每云科技有限公司,|计算机软件|C轮|100-499人|,HR
java开发工程师,北京,,15-30k,经验不限统招本科,汉熵通信有限公司,|物联网|融资未公开|50-99人|,张先生
java中高级开发工程师,北京,,16-20k,5-10年本科及以上,北京国舜科技股份有限公司,|计算机软件|其他|100-499人|,李女士
java中高级开发工程师（提供住宿）,北京,,9-14k,3-5年本科及以上,北京国舜科技股份有限公司,|计算机软件|其他|100-499人|,李女士
高级Java工程师,北京,,18-30k·15薪,5-10年本科及以上,北京易控智驾科技有限公司,|计算机软件|B轮|50-99人|,汪女士
中级JAVA工程师,北京,,12-25k·15薪,3-5年本科及以上,光大科技,|银行|500-999人|,许先生
java开发工程师,北京,,10-18k,1-3年本科及以上,顺网科技,|云存储|沪深A股上市|1000-2000人|,朱女士
Java全栈工程师,北京,,面议,5-10年统招本科,云道智造,|计算机软件|A轮|100-499人|,张女士
Java开发工程师-北京,北京-丰台区,,10-20k,3-5年统招本科,领雁科技,|计算机软件|500-999人|,陈女士
Java服务端开发工程师,北京-朝阳区,,20-40k·14薪,3-5年统招本科,北京安云世纪科技有限公司,|互联网/电商|100-499人|,刘先生
java开发工程师,北京-海淀区,,20-25k,3-5年本科及以上,北京惠每云科技有限公司,|计算机软件|C轮|100-499人|,HR
JAVA后台架构师,北京-朝阳区,,30-50k·16薪,5-10年本科及以上,某企业,|银行|50-99人|,符先生
java开发,北京,,18-26k·14薪,3-5年大专及以上,知名互联网上市公司,|互联网/电商|已上市|2000-5000人|,牛女士
java,北京,,20-35k,一年以下学历不限,北京某大型科技有限公司,|互联网/电商|天使轮|1-49人|,郭女士
java开发工程师,北京,,15-30k·13薪,3-5年大专及以上,北京某科技公司,|互联网/电商|C轮|500-999人|,常先生
Java架构师/技术专家,北京-东城区,,40-60k·14薪,5-10年统招本科,知名O2O租车平台,|O2O服务|B轮|100-499人|,伍女士
高级java开发工程师,北京-海淀区,,25-40k·16薪,经验不限统招本科,某国有银行全资金融科技子公司,|金融科技|5000-10000人|,龚先生
java高级开发工程师,北京-朝阳区,,40-60k,3-5年统招本科,华泰证券股份有限公司,|基金/证券/投资|已上市|5000-10000人|,高女士
java架构师,北京,,35-45k,5-10年统招本科, 北京**科技有限公司 ,|人工智能|C轮|500-999人|,周女士
高级/资深Java开发工程师,北京-海淀区,,20-30k,1-3年统招本科,网易（杭州）网络有限公司,|互联网/电商|已上市|10000人以上|,王先生
java架构师,北京,,35-50k·16薪,10年以上统招本科,某金融科技公司,|金融科技|战略融资|5000-10000人|,胡女士
Java高级研发经理,北京,,40-60k,5-10年统招本科,北京某科技有限公司,|人工智能|C轮|500-999人|,赵女士
Java软件开发工程师,北京,,30-40k·15薪,5-10年统招本科,某云计算,|互联网/电商|B轮|100-499人|,吴先生
Java架构师/资深架构师【年薪包：100-350万】,北京,,60-90k·14薪,10年以上统招本科,上市公司—物流产业,|互联网/电商|已上市|10000人以上|,潘先生
java项目经理,北京-朝阳区,,30-60k·15薪,3-5年硕士及以上,白龙马,|计算机/网络设备|融资未公开|100-499人|,董女士
java高级开发工程师T6-T7,北京,,35-65k·15薪,5-10年统招本科,京东集团,|互联网/电商|战略融资|10000人以上|,陈先生
广告后台leader Java,北京,,210-250k,3-5年统招本科,某知名互联网公司,|互联网/电商|10000人以上|,历女士
java架构师,北京,,35-50k·16薪,经验不限统招本科,某金融科技公司,|金融科技|战略融资|5000-10000人|,胡女士
资深java工程师,北京-海淀区,,50-70k·15薪,5-10年统招本科,某大型智能机器人研发公司,|人工智能|C轮|500-999人|,李女士
高级java开发工程师（信贷方向）,北京-朝阳区,,35-45k·14薪,5-10年统招本科,国内某持牌金融公司,|基金/证券/投资|100-499人|,任先生
java架构师,北京-西城区,,35-50k·16薪,10年以上统招本科,某银行体系科技公司,|银行|2000-5000人|,成女士
Java Tech lead,北京-朝阳区,,25-40k·13薪,5-10年本科及以上,某知名外资计算机服务公司,|计算机软件|2000-5000人|,肖女士
Java资深研发经理,北京-朝阳区,,35-50k·15薪,5-10年统招本科,某机器人互联网+公司,|互联网/电商|C轮|500-999人|,沈先生
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Java高级开发工程师（账务方向）,北京,,30-55k·14薪,5-10年统招本科,知名互联网公司,|互联网/电商|已上市|1000-2000人|,黄女士
Java开发工程师,北京,,30-40k·14薪,1-3年统招本科,中国知名的互联网公司,|互联网/电商|5000-10000人|,张女士
生物信息／信息技术经理／Java开发工程师／数据中心OS工程师／DBA数据库管理员	,北京,,20-40k·15薪,经验不限统招本科,上市龙头生物制药公司,|制药/生物工程|已上市|2000-5000人|,邓女士
Java Developer Java工程师,北京-朝阳区,,22-35k·14薪,3-5年统招本科,德国高端车企,|车联网|不需要融资|10000人以上|,肖女士
Java服务器,北京-朝阳区,,28-40k·14薪,3-5年统招本科,知名游戏公司,|游戏产业|已上市|100-499人|,陈女士
高级java工程师,北京,,30-60k,5-10年学历不限,北京某公司,|计算机软件|融资未公开|50-99人|,许女士
java开发工程师,北京,,25-30k·14薪,5-10年大专及以上,某知名公司,|通信业|5000-10000人|,吕女士
java,北京,,20-40k,3-5年学历不限,某知名国企,|互联网/电商|已上市|10000人以上|,谭先生
java开发岗,北京,,40-45k·25薪,经验不限统招本科,知名公募基金公司,|基金|2000-5000人|,潘女士
java,北京,,20-30k,1-3年学历不限,知名互联网公司,|互联网/电商|1000-2000人|,何先生
高级java开发工程师,北京,,20-40k·16薪,经验不限统招本科,某银行科技子公司,|金融科技|5000-10000人|,赵女士
Java,北京,,30-60k·14薪,3-5年统招本科,知名互联网公司,|互联网/电商|已上市|1000-2000人|,黄女士
java软件开发工程师（信贷/核算）,北京-朝阳区,,40-50k·13薪,经验不限统招本科,知名持牌消金公司,|银行|100-499人|,邱先生
java架构师,北京,,30-50k,5-10年大专及以上,国内某知名国企集团公司,|IT服务|2000-5000人|,高先生
java高级开发工程师,北京,,20-40k,3-5年统招本科,某国企公司,|互联网/电商|50-99人|,桂女士
JAVA工程师,北京,,25-36k,5-10年本科及以上,国内控股集团,|B2B|5000-10000人|,吕先生
资深java架构师,北京-海淀区,,70-85k,5-10年统招本科,某知名互联网公司,|自动驾驶|A轮|100-499人|,朱女士
高级java工程师,北京,,8-13k·16薪,经验不限硕士及以上,唐山某知名日企,|大数据|融资未公开|500-999人|,杨女士
高级java开发工程师,北京,,30-50k·16薪,经验不限统招本科,某知名游戏公司,|互联网/电商|B轮|100-499人|,曹女士
高级java工程师,北京-海淀区,,30-60k·16薪,5-10年统招本科,知名金融科技公司,|互联网金融|已上市|10000人以上|,邓女士
中高级java工程师,北京-海淀区,,20-25k·14薪,3-5年统招本科,某知名公司,|社交网络|其他|1000-2000人|,江先生
java架构师,北京-朝阳区,,40-70k·16薪,5-10年统招本科,某知名公司,|社交网络|其他|1000-2000人|,江先生
java开发工程师,北京,,22-27k,经验不限统招本科,国企，世界500强,|人工智能|1000-2000人|,刘女士
java高级软件工程师-智能制造,北京,,20-40k·16薪,3-5年本科及以上,某著名外资集团公司,|计算机软件|5000-10000人|,李女士
Java AWS developer engineer,北京,,25-40k·13薪,经验不限本科及以上,某芯片通信高科技公司,|电子/芯片/半导体|B轮|100-499人|,陈先生
java工程师,北京,,10-20k·14薪,1-3年统招本科,北京构力科技有限公司,|计算机软件|500-999人|,刘女士
Java,北京,,18-30k·14薪,5-10年统招本科,北京易橙天下科技有限公司,|社交网络|100-499人|,杜女士
java中高级开发工程师,北京,,18-22k,3-5年大专及以上,软通动力,|互联网/电商|10000人以上|,杨女士
高级java开发工程师,北京-海淀区,,10-15k,1-3年本科及以上,穆林科技,|计算机软件|融资未公开|1000-2000人|,贾女士
产品开发工程师（JAVA)-北京(J10312),北京-大兴区,,12-24k,3-5年大专及以上,泰豪科技股份有限公司,|贸易/进出口|已上市|5000-10000人|,吕女士
java工程师,北京-朝阳区,,20-30k,1-3年学历不限,北京智慧算力网络科技有限公司,|专业服务|1-49人|,柯女士
软件开发（Java）,北京,,20-35k,5-10年本科及以上,昆仑数智,|计算机软件|2000-5000人|,姜先生
Java后端工程师-AI课程,北京,,25-40k,3-5年本科及以上,网易集团,|互联网/电商|已上市|10000人以上|,顾女士
java中高级开发工程师,北京-朝阳区,,18-35k,3-5年统招本科,恒昌,|信托/担保/拍卖|500-999人|,刘女士
java开发,北京,,12-20k,1-3年统招本科,北京海华鑫安生物信息技术有限责任公司,|计算机软件|融资未公开|100-499人|,王女士
JAVA开发工程师,北京,,15-20k·13薪,经验不限本科及以上,亿达信息技术有限公司,|计算机软件|2000-5000人|,丛先生
高级java开发工程师,北京-海淀区,,15-25k·15薪,5-10年本科及以上,品驰医疗,|医疗器械|100-499人|,张女士
初级Java开发工程师,北京,,11-18k·13薪,1-3年本科及以上,银雁科技服务集团股份有限公司,|行业解决方案|10000人以上|,潘女士
后端java开发工程师,北京,,20-40k,经验不限统招本科,荣耀终端有限公司,|互联网/电商|融资未公开|10000人以上|,孙先生
java研发工程师,北京-朝阳区,,15-22k·15薪,5-10年统招本科,泰康养老保险股份有限公司,|保险|5000-10000人|,杨女士
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Java开发工程师 (MJ000071),北京-朝阳区,,15-30k·14薪,3-5年统招本科,易宝支付,|互联网/电商|1000-2000人|,闫女士
java高级研发工程师,北京-朝阳区,,17-22k·13薪,5-10年本科及以上,易联众信息,|计算机软件|创业板上市|2000-5000人|,李女士
资深java开发工程师（央企）,北京,,20-30k·15薪,3-5年本科及以上,中软信息系统工程,|数据安全|100-499人|,于先生
JAVA开发工程师,北京-朝阳区,,10-16k,3-5年本科及以上,杰之能软件,|计算机软件|A轮|100-499人|,陆女士
内部研发Java开发,北京-海淀区,,12-20k,3-5年大专及以上,中软国际科技,|IT服务|10000人以上|,李女士
