职位名称,工作地点,招聘状态,参考薪资,学历经验,公司名称,公司信息,联系人
java架构师,深圳-南山区,,55-65k·16薪,10年以上统招本科,提供数字化转型全栈服务,|大数据|B轮|500-999人|,陈女士
JAVA开发工程师（研发） #237863,深圳,,35-65k·18薪,5-10年统招本科,国内知名互联网公司,|通信业|战略融资|10000人以上|,胡女士
java高级开发工程师,深圳,,25-50k·20薪,经验不限统招本科,国内某知名证券公司,|基金/证券/投资|已上市|5000-10000人|,顾女士
JAVA高级开发工程师 #235598,深圳-福田区,,20-40k·20薪,5-10年统招本科,头部券商,|基金/证券/投资|已上市|2000-5000人|,李女士
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
java架构师,深圳-南山区,,30-50k·14薪,5-10年大专及以上,国内知名电商公司,|互联网/电商|5000-10000人|,李女士
中高级Java工程师,深圳-南山区,,30-50k·15薪,经验不限统招本科,源歌猎头,|互联网/电商|50-99人|,吕先生
java后端工程师,深圳,,15-30k,经验不限学历不限,某知名工业互联网集团,|互联网/电商|不需要融资|100-499人|,谭先生
Java开发工程师,深圳,,25-50k,3-5年学历不限,知名互联网巨头公司,|互联网/电商|2000-5000人|,唐女士
java工程师,深圳,,15-30k·15薪,1-3年统招本科,全球知名银行,|基金/证券/投资|不需要融资|2000-5000人|,郑先生
高级Java开发工程师,深圳,,15-25k,5-10年本科及以上,同为数码,|电子/芯片/半导体|沪深A股上市|1000-2000人|,李女士
Java（平安基本法团队）,深圳-罗湖区,,20-40k,3-5年统招本科,深圳平安综合金融服务有限公司,|基金/证券/投资|10000人以上|,刘女士
高级JAVA开发（应用支持）,深圳,,20-40k·15薪,5-10年统招本科,金蝶,|互联网/电商|已上市|5000-10000人|,郑女士
Java开发工程师,深圳-南山区,,25-50k·16薪,1-3年大专及以上,深圳市展科隆信息技术有限公司,|计算机软件|1-49人|,陈先生
高级java开发工程师,深圳-南山区,,15-30k,1-3年统招本科,深圳道乐科技有限公司,|计算机软件|融资未公开|100-499人|,林先生
Java（华为-新零售）,深圳-龙岗区,,11-22k,1-3年统招本科,拍库(北京)科技有限公司,|电子商务|C轮|100-499人|,闪女士
Java,深圳-南山区,,25-40k·16薪,1-3年本科及以上,阿里巴巴集团,|互联网/电商|港股上市|10000人以上|,罗先生
java工程师,深圳-宝安区,,10-20k,5-10年本科及以上,深圳曼顿科技有限公司,|电子/芯片/半导体|100-499人|,黄女士
高级java工程师,深圳-宝安区,,15-30k,3-5年本科及以上,深圳曼顿科技有限公司,|电子/芯片/半导体|100-499人|,黄女士
java架构师,深圳-宝安区,,20-40k,5-10年统招本科,深圳曼顿科技有限公司,|电子/芯片/半导体|100-499人|,黄女士
JAVA开发工程师（信息化项目）,深圳,,15-25k·13薪,3-5年本科及以上,银盛支付,|互联网/电商|1000-2000人|,钟女士
java高级开发工程师,深圳,,15-25k,5-10年本科及以上,易图资讯,|企业服务软件|100-499人|,杨女士
java高级开发工程师,深圳-南山区,,18-35k·13薪,5-10年本科及以上,蓝凌软件,|计算机软件|2000-5000人|,刘女士
中级java开发工程师,深圳,,11-20k,3-5年大专及以上,深圳市睿服科技有限公司,|IT服务|融资未公开|500-999人|,杨先生
java,深圳-龙华区,,12-25k,经验不限学历不限,赛意信息,|计算机软件|创业板上市|2000-5000人|,买女士
java开发工程师,深圳,,12-15k,3-5年大专及以上,有信达物流,|交通/物流/运输|1000-2000人|,熊女士
Java开发工程师（高级）,深圳-南山区,,20-30k,5-10年统招本科,招商永隆银行有限公司深圳分行,|银行|100-499人|,何女士
Java开发工程师（中级/初级）,深圳-南山区,,15-25k,3-5年统招本科,招商永隆银行有限公司深圳分行,|银行|100-499人|,何女士
JAVA开发经理,深圳-福田区,,40-50k·14薪,10年以上本科及以上,盛业资本,|融资|其他|100-499人|,孙先生
高级java工程师,深圳-福田区,,17-20k,5-10年大专及以上,上海新晨信息集成系统有限公司,|计算机软件|100-499人|,范女士
Java开发（双休）,深圳-南山区,,15-20k,3-5年统招本科,深圳市睿服科技有限公司,|IT服务|融资未公开|500-999人|,邹女士
资深java开发工程师,深圳,,28-40k·13薪,5-10年大专及以上,领健信息,|互联网/电商|C轮|100-499人|,祁女士
Java后台开发工程师,深圳-福田区,,10-15k,1-3年本科及以上,金百泽,|芯片/集成电路|1000-2000人|,肖女士
java开发工程师,深圳,,15-25k,1-3年大专及以上,深圳汉王友基科技有限公司,|电子/芯片/半导体|500-999人|,夏先生
Java后端开发工程师,深圳,,15-25k·13薪,3-5年大专及以上,蓝胖子机器人,|仪器/电气/自动化|50-99人|,李女士
java研发工程师,深圳-南山区,,15-30k·13薪,3-5年统招本科,深圳市思品信息技术有限公司,|互联网/电商|融资未公开|1-49人|,陈女士
Java开发工程师,深圳,,20-40k·15薪,3-5年统招本科,金地,|房地产/建筑|沪深A股上市|5000-10000人|,许女士
高级java开发工程师,深圳-龙岗区,,20-30k,5-10年统招本科,湖南拓维云创科技有限责任公司,|计算机软件|5000-10000人|,彭女士
java全栈开发工程师,深圳,,15-25k·13薪,1-3年大专及以上,蓝胖子机器人,|仪器/电气/自动化|50-99人|,李女士
高级java开发工程师,深圳,,18-30k·13薪,3-5年本科及以上,酷开科技,|互联网/电商|500-999人|,谭女士
Java后台开发（基础安全）,深圳,,30-50k,5-10年统招本科,vivo,|通信业|10000人以上|,骆先生
java开发工程师,深圳-南山区,,12-20k,3-5年统招本科,前海泽金,|计算机软件|A轮|50-99人|,周女士
java中级工程师,深圳-南山区,,10-14k·13薪,1-3年统招本科,中科软,|计算机软件|已上市|5000-10000人|,尹女士
Java开发工程师（devops）(007883),深圳-福田区,,25-30k,3-5年统招本科,中信银行信用卡中心,|银行|5000-10000人|,蓝女士
