职位名称,工作地点,招聘状态,参考薪资,学历经验,公司名称,公司信息,联系人
java工程师,北京-房山区,,8-13k,---经验不限--大专及以上-,北京迈捷映博科技有限公司,-电子商务-100-499人-,熊女士
Java开发工程师（北京）(MVYP),北京-朝阳区,,20-40k,---3-5年--统招本科-,CIDER,-电子商务-C轮-100-499人-,信女士
java工程师,北京-顺义区,,10-15k,---一年以下--大专及以上-,北京迈捷映博科技有限公司,-电子商务-100-499人-,郭先生
java工程师,北京-大兴区,,10-15k,---一年以下--大专及以上-,阁瑞钛伦特软件(北京)有限公司,-计算机软件-融资未公开-100-499人-,秦女士
java工程师,北京-海淀区,,9-14k,---一年以下--大专及以上-,国商大通(北京)国际拍卖有限公司,-信托/担保/拍卖-1-49人-,尚先生
java研发工程师,北京-朝阳区,,22-27k,---5-10年--本科及以上-,宜信公司,-投资理财-10000人以上-,李女士
java工程师,北京-西城区,,12-30k,---1-3年--本科及以上-,天金所,-投资理财-100-499人-,韩先生
技术专家/java高级开发工程师,北京-朝阳区,,30-60k-15薪,---3-5年--本科及以上-,美团,-互联网/电商-港股上市-10000人以上-,李女士
java工程师,北京-朝阳区,,20-30k-14薪,---3-5年--统招本科-,中关村科金,-人工智能-融资未公开-10000人以上-,付女士
资深java后端研发,北京-朝阳区,,40-60k-15薪,---5-10年--统招本科-,车好多集团,-O2O服务-D轮-10000人以上-,李女士
Java工程师(J11495),北京-海淀区,,25-50k-15薪,---5-10年--本科及以上-,北京掌上先机网络科技有限公司(慧策),-互联网/电商-D轮-2000-5000人-,李先生
JAVA工程师(J10180),北京-朝阳区,,20-25k,---3-5年--大专及以上-,易智付科技,-互联网金融-100-499人-,张女士
Java开发工程师,北京-海淀区,,11-22k,---经验不限--本科及以上-,点聚,-计算机软件-融资未公开-100-499人-,谢先生
Java技术支持,北京-海淀区,,9-18k,---1-3年--大专及以上-,点聚,-计算机软件-融资未公开-100-499人-,谢先生
高级java工程师,北京-海淀区,,25-50k-13薪,---5-10年--本科及以上-,华控清交,-人工智能-B轮-100-499人-,张先生
java开发工程师,北京,,10-15k,---1-3年--大专及以上-,艾体威尔,-IT服务-500-999人-,陈先生
Java架构师 (MJ009255),北京-海淀区,,30-45k-15薪,---5-10年--本科及以上-,广联达,-互联网/电商-已上市-2000-5000人-,李女士
中高级java开发,北京,,10-15k,---3-5年--大专及以上-,北京独创时代科技有限公司,-互联网/电商-100-499人-,田先生
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
中级java开发工程师,北京-海淀区,,20-28k-14薪,---5-10年--统招本科-,北京吉大正元信息技术有限公司,-计算机软件-沪深A股上市-1000-2000人-,孙女士
java工程师,北京,,10-15k-13薪,---1-3年--大专及以上-,艾体威尔,-IT服务-500-999人-,陈先生
