职位名称,工作地点,招聘状态,参考薪资,学历经验,公司名称,公司信息,联系人
Java资深开发工程师,苏州-昆山,,15-22k,1-3年大专及以上,适途汽车,|计算机软件|500-999人|,董女士
java开发工程师,苏州-吴中区,,30-60k,3-5年本科及以上,深圳市优必选科技股份有限公司,|计算机/网络设备|1000-2000人|,宋女士
java工程师,苏州-昆山,,15-18k,3-5年大专及以上,和君纵达数据科技有限公司,|AI行业应用|2000-5000人|,刘先生
java开发工程师,苏州-工业园区,,18-25k·13薪,经验不限统招本科,极目机器人,|工业自动化|C轮|100-499人|,王女士
Application Engineer (Java),苏州-虎丘区,,8-12k·13薪,1-3年本科及以上,瓦锡兰中国,|机械/机电/重工|融资未公开|1000-2000人|,徐女士
高级java工程师,苏州-吴中区,,16-22k,5-10年本科及以上,上海度普新能源科技有限公司,|新能源|100-499人|,张女士
java后端开发工程师,苏州-虎丘区,,8-15k,1-3年大专及以上,苏州比格威医疗科技有限公司,|计算机软件|A轮|50-99人|,倪女士
java工程师,苏州,,6-11k·13薪,1-3年大专及以上,上海哥瑞利软件股份有限公司,|ERP|融资未公开|100-499人|,HR
资深java开发工程师,苏州-姑苏区,,15-22k·13薪,5-10年本科及以上,苏州泰克赛威网络科技有限公司,|计算机软件|融资未公开|50-99人|,朱女士
JAVA开发工程师G00124,苏州-虎丘区,,7-12k·13薪,1-3年本科及以上,苏州纽威集团,|机械/机电/重工|沪深A股上市|2000-5000人|,唐女士
java开发工程师,苏州,,5-10k,1-3年大专及以上,飞力达物流,|交通/物流/运输|沪深A股上市|5000-10000人|,刘女士
JAVA开发工程师,苏州-昆山,,6-18k,1-3年大专及以上,江苏华起实业发展有限公司,|机械设备制造|100-499人|,张女士
java高级开发工程师,苏州-工业园区,,15-20k,5-10年本科及以上,美集股份,|交通/物流/运输|融资未公开|100-499人|,李女士
初级java开发工程师,苏州-虎丘区,,7-10k,经验不限本科及以上,中科院沈苏公司,|计算机软件|B轮|100-499人|,贾女士
java开发,苏州-工业园区,,12-18k,3-5年本科及以上,中科院沈苏公司,|计算机软件|B轮|100-499人|,贾女士
java开发,苏州-吴中区,,15-25k,3-5年大专及以上,上海度普新能源科技有限公司,|新能源|100-499人|,张女士
Java开发-大数据方向(J10108),苏州,,10-20k,3-5年统招本科,建信金融科技有限责任公司,|计算机软件|5000-10000人|,孙女士
Java开发-云平台方向(J10107),苏州,,10-20k,3-5年统招本科,建信金融科技有限责任公司,|计算机软件|5000-10000人|,孙女士
java高级工程师,苏州-工业园区,,20-30k·13薪,5-10年统招本科,医药魔方,|制药/生物工程|B轮|50-99人|,张女士
软件工程师（Java）,苏州,,15-25k·13薪,3-5年本科及以上,英腾物流科技,|仪器/电气/自动化|其他|1-49人|,汪女士
高级Java开发工程师(TJ0001),苏州-工业园区,,15-30k,3-5年统招本科,万得,|互联网/电商|其他|2000-5000人|,姚女士
高级Java工程师（大数据，数据挖掘）（TJ0010）,苏州-工业园区,,15-30k,5-10年统招本科,万得,|互联网/电商|其他|2000-5000人|,姚女士
软件开发工程师（java）,苏州-昆山,,15-35k·14薪,3-5年统招本科,三一集团,|机械/机电/重工|10000人以上|,郝女士
java工程师,苏州,,12-22k·14薪,5-10年统招本科,博众精工科技股份有限公司,|机械/机电/重工|5000-10000人|,HR
JAVA开发工程师,苏州-工业园区,,9-15k,1-3年本科及以上,苏州盈合工具有限公司,|机械/机电/重工|500-999人|,HR
Senior Java Developer / JAVA高级软件开发工程师,苏州,,15-25k·13薪,5-10年统招本科,诺仕科技(苏州)有限公司,|计算机软件|1-49人|,黄女士
java开发,苏州,,15-27k,1-3年本科及以上,某软件公司,|IT服务|5000-10000人|,陈女士
java,苏州-吴中区,,20-25k,1-3年本科及以上,XX上市公司,|银行|已上市|10000人以上|,孟女士
JAVA服务器开发工程师,苏州-吴中区,,15-25k·13薪,3-5年学历不限,苏州游戏公司,|游戏开发|50-99人|,黄女士
Java后端开发工程师,苏州-姑苏区,,20-40k·14薪,3-5年统招本科,集团软件子公司,|计算机软件|10000人以上|,姜先生
高级java开发工程师,苏州,,25-30k·14薪,经验不限大专及以上,某知名集团,|人工智能|A轮|5000-10000人|,李女士
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
java开发,苏州,,15-25k·15薪,经验不限统招本科,某知名重工企业,|机械设备制造|融资未公开|2000-5000人|,曹先生
高级java开发工程师,苏州-工业园区,,21-40k·14薪,3-5年学历不限,全球排名前五新能源企业,|互联网/电商|已上市|2000-5000人|,赵先生
高级java工程师,苏州-工业园区,,25-50k·14薪,经验不限本科及以上,外资企业,|区块链技术|100-499人|,孙先生
JAVA服务器开发工程师,苏州-吴中区,,20-30k·13薪,经验不限大专及以上,苏州游戏公司,|游戏开发|50-99人|,黄女士
高级java开发工程师,苏州,,15-30k,3-5年统招本科,某新大型互联网公司,|互联网/电商|已上市|100-499人|,林女士
中级java开发工程师,苏州,,8-15k·13薪,3-5年统招本科,江苏亚威智能系统有限公司,|企业服务软件|50-99人|,夏女士
JAVA开发工程,苏州,,8-15k·13薪,经验不限本科及以上,江苏亚威智能系统有限公司,|企业服务软件|50-99人|,夏女士
java实习生,苏州-吴中区,,3-5k,经验不限大专及以上,苏州百捷信息科技有限公司,|计算机软件|融资未公开|500-999人|,朱女士
java高级开发工程师/DM,苏州-吴中区,,18-25k·13薪,3-5年大专及以上,苏州百捷信息科技有限公司,|计算机软件|融资未公开|500-999人|,朱女士
java高级工程师,苏州-工业园区,,12-20k·13薪,5-10年统招本科,苏州华杨科学仪器有限公司,|机械/机电/重工|天使轮|50-99人|,高女士
JAVA开发工程师,苏州-工业园区,,8-12k,1-3年统招本科,广州天维信息技术股份有限公司,|计算机软件|新三板上市|500-999人|,张女士
java高级开发工程师,苏州-吴中区,,16-18k·13薪,3-5年大专及以上,苏州百捷信息科技有限公司,|计算机软件|融资未公开|500-999人|,朱女士
高级java开发工程师,苏州-工业园区,,20-30k·15薪,3-5年本科及以上,同元软控,|计算机软件|融资未公开|100-499人|,程女士
java开发,苏州-吴中区,,11-15k,1-3年本科及以上,京北方信息,|IT服务|已上市|10000人以上|,万先生
java工程师,苏州-虎丘区,,12-20k·14薪,5-10年统招本科,固德威,|能源/水利|科创板上市|1000-2000人|,朱女士
java开发工程师,苏州-张家港,,12-14k,3-5年本科及以上,江苏易汇聚软件科技有限公司,|电子商务|50-99人|,周女士
java开发工程师,苏州-虎丘区,,15-18k·13薪,3-5年统招本科,苏州云极客信息技术有限公司,|互联网/电商|50-99人|,杨女士
Java架构师-阿基米德-苏州,苏州-工业园区,,20-25k·13薪,5-10年统招本科,柯渡医学科技,|医疗器械|C轮|1000-2000人|,陶女士
Java开发-阿基米德-苏州,苏州-工业园区,,8-15k,1-3年本科及以上,柯渡医学科技,|医疗器械|C轮|1000-2000人|,陶女士
高级java开发工程师,苏州-虎丘区,,18-25k,1-3年统招本科,某科技有限公司,|互联网金融|已上市|2000-5000人|,徐先生
java架构师,苏州,,20-35k,5-10年统招本科,JS,|大数据|50-99人|,张女士
JAVA,苏州,,12-14k,3-5年学历不限,国内某知名集团公司,|能源/水利|10000人以上|,张女士
Java资深工程师/架构师,苏州,,20-25k·14薪,3-5年本科及以上,高新技术企业,|智能安防|其他|1000-2000人|,刘女士
java工程师,苏州-工业园区,,20-30k,5-10年学历不限,苏州**有限公司,|通信设备|2000-5000人|,赵女士
java高级工程师,苏州,,20-25k·15薪,10年以上本科及以上,企业大数据服务商,|大数据|融资未公开|100-499人|,鲍先生
JAVA主管,苏州-常熟,,13-20k·13薪,3-5年统招本科,江苏中和贸易有限公司,|批发零售|不需要融资|2000-5000人|,吴先生
java开发,苏州-虎丘区,,15-20k,3-5年本科及以上,上海创鹰网络科技有限公司,|IT服务|1-49人|,张先生
JAVA开发(中高级3-5年),苏州,,15-18k·13薪,3-5年大专及以上,易创软件,|计算机软件|融资未公开|50-99人|,周先生
Java开发工程师（新区竹园路）,苏州-虎丘区,,10-20k,1-3年本科及以上,苏州万店掌网络科技有限公司,|计算机软件|C轮|100-499人|,王女士
高级java软件工程师,苏州,,15-20k,5-10年本科及以上,江苏盖睿健康科技有限公司,|互联网/电商|100-499人|,韩女士
高级java工程师,苏州-工业园区,,18-22k,5-10年本科及以上,元兵科技,|互联网/电商|融资未公开|100-499人|,孙先生
java工程师,苏州,,16-23k,经验不限大专及以上,某,|互联网/电商|100-499人|,谢先生
JAVA开发(初中级1-3年经验),苏州,,6-10k·13薪,1-3年大专及以上,易创软件,|计算机软件|融资未公开|50-99人|,周先生
Java开发工程师,苏州-工业园区,,13-20k·13薪,3-5年大专及以上,铨融(上海)医药科技开发有限公司,|计算机软件|A轮|50-99人|,谷女士
中级java开发工程师,苏州-工业园区,,10-15k·13薪,3-5年本科及以上,益发特科技,|计算机软件|100-499人|,芦先生
java软件开发工程师,苏州,,10-15k,1-3年本科及以上,苏州麦科斯工程科技有限公司,|教育培训|1-49人|,许先生
java高级工程师,苏州-工业园区,,10-15k,3-5年统招本科,银狐科技,|计算机软件|其他|1-49人|,顾先生
资深JAVA工程师 Senior Java Software Engineer,苏州-工业园区,,12-18k,3-5年本科及以上,EIS益进信息,|计算机软件|战略投资|100-499人|,高女士
java开发工程师,苏州-工业园区,,15-20k·13薪,3-5年大专及以上,铨融(上海)医药科技开发有限公司,|计算机软件|A轮|50-99人|,焦女士
java开发工程师,苏州-工业园区,,12-20k,3-5年本科及以上,上海中犇融资租赁有限公司,|车贷|1000-2000人|,杨女士
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
java开发工程师,苏州,,15-24k·13薪,3-5年本科及以上,普华永道信息技术,|IT服务|10000人以上|,鲍女士
JAVA开发工程师（INNO）(J11151),苏州-工业园区,,12-24k·13薪,3-5年大专及以上,patsnap,|互联网/电商|D轮|500-999人|,樊先生
C#、java软件工程师(J10215),苏州-虎丘区,,8-15k·16薪,1-3年本科及以上,星恒电源,|新能源|2000-5000人|,HR
初级Java开发工程师,苏州,,5-10k,3-5年本科及以上,江苏盖睿健康科技有限公司,|互联网/电商|100-499人|,韩女士
中级Java软件工程师,苏州,,8-10k,3-5年本科及以上,江苏盖睿健康科技有限公司,|互联网/电商|100-499人|,韩女士
中高级java开发工程师,苏州-工业园区,,12-25k·14薪,3-5年统招本科,益发特科技,|计算机软件|100-499人|,芦先生
java,苏州,,15-25k·16薪,3-5年统招本科,某知名通讯公司,|通信业|已上市|10000人以上|,龙先生
java开发工程师,苏州-吴江区,,15-20k,一年以下学历不限,全球光通信与能源互联网公司,|互联网+|融资未公开|10000人以上|,程女士
java技术总监,苏州-工业园区,,20-40k·13薪,5-10年本科及以上,苏州百捷信息科技有限公司,|计算机软件|融资未公开|500-999人|,朱女士
java开发经理,苏州-昆山,,20-35k,5-10年本科及以上,上海宜闻教育科技有限公司,|计算机软件|50-99人|,方女士
java研发工程师,苏州-昆山,,10-30k,5-10年本科及以上,上海宜闻教育科技有限公司,|计算机软件|50-99人|,方女士
java高级开发工程师,苏州-工业园区,,18-25k·13薪,5-10年本科及以上,上海电享信息科技有限公司,|计算机软件|A轮|50-99人|,王女士
软件开发工程师（Java，golang),苏州-吴中区,,12-18k,3-5年本科及以上,科沃斯机器人股份有限公司,|互联网/电商|已上市|2000-5000人|,彭女士
