id,名称,总阅读数,总鲜花数,总催更票数,总打赏(单位万),总月票数,总分享次数,评分,好评人数,小说分类
95,武侠：刚修仙，就被天道盘点了？,775971,49246,10,26000000.0,15,0,10,5419人,武侠仙侠
96,剧透美漫多元宇宙：开局直播复联,8356627,1005272,1028,2177000.0,34,1,10,82583人,同人小说
97,开局掉落万年修为，我疯狂升级！,792433,134092,39,586000.0,64,0,10,6031人,都市言情
98,驯养师：我在玄武后背建家园,20127279,5692887,2600,1271000.0,119,11,10,462843人,玄幻奇幻
99,联盟：闪现撞墙后，我无敌了,631575,122293,9,922000.0,133,0,10,6851人,科幻网游
100,超次元攻略：从蝙蝠侠开始,699829,78705,58,223000.0,50,0,10,6628人,同人小说
101,四合院：咸鱼许大茂，都别惹我,440418,37149,5,21000000.0,19,0,10,2642人,都市言情
102,反派：女主偷听我心声，人设崩了,1311017,94795,134,211000.0,44,1,10,9447人,都市言情
103,玄幻：我！开局一座拍卖场,1674777,379885,61,2271000.0,94,0,10,11130人,玄幻奇幻
104,重生1950：开局打捞黄金船,483911,71621,13,25640000.0,41,0,10,6769人,都市言情
105,特种兵：开局掌管孤狼！,713539,45234,12,11880000.0,39,0,10,4063人,军事历史
106,全民海岛：开局捡尸美杜莎女王！,729597,107782,6,153000.0,136,0,10,11400人,玄幻奇幻
107,四合院：开局地窖求生，别来惹我,1495942,302389,49,143000.0,9,1,10,15349人,同人小说
108,综漫：同时穿越无数世界,9509053,1690343,695,1186000.0,65,0,10,183441人,同人小说
109,三国：掌天地人，助刘备谋定天下,598169,133722,14,432000.0,77,0,10,6880人,军事历史
110,四合院：秦淮茹要我女儿捐眼角膜,833691,16019,12,1000000.0,0,0,10,2662人,同人小说
111,往生酒店：我在人间典生当死！,1578613,133025,45,107000.0,58,0,10,8010人,恐怖灵异
112,都市：我有人生重置模拟器,2723683,516355,427,488000.0,156,0,10,47232人,都市言情
113,我，漩涡老祖，开局继承狱血魔神,665556,122989,13,755000.0,25,0,10,7277人,同人小说
114,惊悚游戏：大哥，你过分了啊！,704022,196752,12,89000.0,219,0,10,17109人,恐怖灵异
115,投资之神，癌症后我偷偷立下遗嘱,3946000,1418489,1326,179000.0,35,7,10,62975人,都市言情
116,四合院：从傻柱邻居开始,1665177,517039,87,549000.0,117,1,10,26978人,同人小说
117,全民领主：兵种都是sss级天赋,1398970,157720,225,133000.0,50,4,10,14151人,玄幻奇幻
118,直播：贫道真没想人前显圣啊！,5728147,1114057,660,532000.0,22,0,10,63345人,都市言情
119,终级系列：我，十二时空幕后大佬,702568,219982,28,604000.0,81,1,10,16497人,同人小说
120,某综漫的神圣右方,40527549,6838581,1180,668000.0,119,91,10,1060132人,同人小说
121,绝了！我的信徒都是满级人类！,1242737,438002,138,1669000.0,78,0,10,17001人,玄幻奇幻
122,穿书成反派，女主们的人设崩坏了,4213455,1791905,1154,344000.0,67,2,10,119039人,都市言情
