职位名称,公司名称,工作地点,参考月薪,学历,发布时间
Java软件工程师,京北方信息技术股份有限公司厦门分公司,福州市,,本科,2021-11-05 17:17
JAVA微服务工程师,京北方信息技术股份有限公司厦门分公司,厦门市,8000-15000,本科,2021-11-05 17:17
Java微服务工程师,京北方信息技术股份有限公司厦门分公司,厦门市,12000-18000,本科,2021-11-05 17:17
Java高级软件工程师,京北方信息技术股份有限公司厦门分公司,厦门市思明区,12000-16000,本科,2021-11-05 17:17
Java高级软件工程师,厦门全向物联网科技有限公司,厦门市、厦门市湖里区,8000-12000,本科,2021-11-05 17:17
JAVA项目经理,厦门全向物联网科技有限公司,厦门市,10000-15000,本科,2021-11-05 17:17
JAVA开发工程师,厦门信通慧安科技有限公司,厦门市集美区,6000-10000,大专,2021-11-05 17:17
服务端开发（Java）,厦门延趣网络科技有限公司,福建省、厦门市、厦门市思明区,10000-15000,,2021-11-05 17:17
JAVA工程师,天阳宏业科技股份有限公司,厦门市思明区,7500-15000,大专,2021-11-05 17:11
中高级java开发工程师,天阳宏业科技股份有限公司,厦门市湖里区,,本科,2021-11-05 17:11
JAVA软件工程师,天阳宏业科技股份有限公司,厦门市、厦门市思明区、厦门市集美区、厦门市翔安区、厦门市海沧区、厦门市湖里区,12000-20000,大专,2021-11-05 17:11
java高级开发工程师,厦门科云信息科技有限公司,厦门市思明区,8000-12000,,2021-11-05 17:06
java开发主管,厦门科云信息科技有限公司,厦门市思明区,10000-15000,大专,2021-11-05 17:06
Java程序员,厦门科云信息科技有限公司,厦门市思明区,,本科,2021-11-05 17:06
Java初级开发工程师,厦门科云信息科技有限公司,厦门市思明区,,本科,2021-11-05 17:06
Java中级开发工程师,厦门科云信息科技有限公司,厦门市思明区,,本科,2021-11-05 17:06
Java开发工程师,厦门科云信息科技有限公司,厦门市思明区,,本科,2021-11-05 17:06
JAVA开发工程师（后端）,厦门飞世尔科技有限公司,福建省、厦门市集美区,5000-10000,大专,2021-11-05 16:48
Java开发工程师,厦门金美信消费金融有限责任公司,厦门市思明区,8000-15000,本科,2021-11-05 16:46
Java后端工程师,厦门优芽网络科技有限公司,厦门市,10000-18000,,2021-11-05 16:42
高级JAVA发工程师/架构师,厦门嘉乐道管理咨询有限公司,福建省、厦门市、福州市,25000-35000,本科,2021-11-05 16:40
java实习生,厦门市德医互联科技有限公司,厦门市集美区,3000-4000,大专,2021-11-05 16:32
高级Java工程师,厦门市德医互联科技有限公司,厦门市集美区,15000-20000,大专,2021-11-05 16:32
JAVA开发工程师,厦门极风网络科技有限公司,厦门市集美区,10000-15000,本科,2021-11-05 16:29
Java开发工程师,厦门用友烟草软件有限责任公司,厦门市,,本科,2021-11-05 16:24
Java开发工程师（2021届）,厦门用友烟草软件有限责任公司,厦门市思明区,6000-8000,本科,2021-11-05 16:24
中级JAVA开发工程师,福建新意科技有限公司,厦门市,10000-18000,本科,2021-11-05 16:11
JAVA中高级开发工程师,厦门市众合百易科技有限公司,厦门市湖里区,10000-20000,本科,2021-11-05 16:05
JAVA工程师,厦门启鸿博科技有限公司,福州市、厦门市,5000-9000,无,2021-11-05 16:04
JAVA开发工程师,厦门优望公寓管理有限责任公司,厦门市思明区,10000-20000,本科,2021-11-05 15:58
java开发工程师,厦门英诺尔电子科技股份有限公司,厦门市同安区,5000-10000,大专,2021-11-05 15:55
Java开发工程师（政府网站开发）,福建拓尔通软件有限公司,厦门市思明区,9000-14000,大专,2021-11-05 15:53
中级JAVA开发工程师（急聘）,福建拓尔通软件有限公司,厦门市、厦门市湖里区,9000-16000,大专,2021-11-05 15:53
Java中级工程师,福建拓尔通软件有限公司,厦门市、福州市,9000-16000,大专,2021-11-05 15:53
java开发工程师,上海泛微网络科技股份有限公司,厦门市,4000-8000,大专,2021-11-05 15:52
Java开发工程师（22届/智能物联）,厦门星纵智能科技有限公司,厦门市,8000-12000,本科,2021-11-05 15:42
Java（应届生实习生）（J10323）,福建新时颖电子商务有限公司,厦门市,,本科,2021-11-05 15:34
中级Java工程师,法信公证云（厦门）科技有限公司,厦门市思明区,8000-13000,本科,2021-11-05 15:29
Java开发工程师,中清睿（厦门）环境科技有限公司,厦门市,,,2021-11-05 15:19
中级JAVA开发工程师—国企,厦门睿佳贤信息咨询有限公司,厦门市,12000-18000,本科,2021-11-05 15:06
高级JAVA开发,厦门睿佳贤信息咨询有限公司,厦门市思明区,15000-22000,本科,2021-11-05 15:06
Java架构师,厦门睿佳贤信息咨询有限公司,厦门市,25000-30000,,2021-11-05 15:06
JAVA/Spring服务端开发,厦门睿佳贤信息咨询有限公司,厦门市,8000-13000,本科,2021-11-05 15:06
JAVA开发工程师,厦门睿佳贤信息咨询有限公司,厦门市思明区,15000-22000,大专,2021-11-05 15:06
中级Java软件工程师（市监一部）,厦门同步天成软件股份有限公司,厦门市思明区,10000-19000,大专,2021-11-05 15:05
中级java工程师,厦门同步天成软件股份有限公司,福建省、厦门市、厦门市思明区,7000-14000,大专,2021-11-05 15:05
高级JAVA软件开发工程师（软件园）,厦门同步天成软件股份有限公司,福建省、厦门市、厦门市思明区,12000-19000,本科,2021-11-05 15:05
Java软件工程师（大数据部门）,厦门同步天成软件股份有限公司,厦门市思明区,6000-12000,大专,2021-11-05 15:05
中级Java软件工程师（市监二部）,厦门同步天成软件股份有限公司,厦门市思明区,9000-12000,大专,2021-11-05 15:05
初级Java软件工程师（市监二部）,厦门同步天成软件股份有限公司,厦门市思明区,6000-9000,大专,2021-11-05 15:05
初级Java软件工程师（市监一部）,厦门同步天成软件股份有限公司,厦门市思明区,5000-7000,大专,2021-11-05 15:05
JAVA软件工程师（智慧财政部）,厦门同步天成软件股份有限公司,福建省、厦门市、厦门市思明区,10000-15000,大专,2021-11-05 15:05
Java开发工程师,厦门同步天成软件股份有限公司,厦门市,6000-10000,大专,2021-11-05 15:05
JAVA中级开发工程师,五度互联（厦门）信息技术有限公司,福建省、厦门市思明区,8000-15000,大专,2021-11-05 14:49
Java游戏开发工程师（服务端）,厦门市超游网络科技股份有限公司,厦门市思明区,7000-12000,大专,2021-11-05 14:41
java开发工程师,厦门众项网络科技有限公司,厦门市湖里区,12000-15000,大专,2021-11-05 14:40
高级Java软件工程师,南强智视（厦门）科技有限公司,厦门市、厦门市思明区,18000-25000,本科,2021-11-05 14:24
Java开发工程师,南强智视（厦门）科技有限公司,厦门市、厦门市思明区,10000-15000,大专,2021-11-05 14:24
高级JAVA开发,厦门美肯科技有限公司,厦门市湖里区,10000-20000,本科,2021-11-05 14:23
中级JAVA开发,厦门美肯科技有限公司,厦门市湖里区,8000-15000,无,2021-11-05 14:23
java服务端开发工程师,嘉兴门门信息技术有限公司,厦门市湖里区,9000-18000,本科,2021-11-05 14:23
