职位名称,公司名称,工作地点,参考月薪,学历,发布时间
运维工程师,厦门中塔日升信息科技有限公司,厦门市,6000-9000,,2021-11-03 16:44
应用运维工程师,建信融通有限责任公司,厦门市、厦门市思明区,12000-18000,本科,2021-11-03 15:56
运维工程师,厦门市虫虫网络科技有限公司,厦门市、厦门市思明区,8000-16000,大专,2021-11-03 14:54
运维工程师,厦门本捷网络股份有限公司,厦门市思明区,4000-7000,大专,2021-11-03 14:21
初级运维工程师,厦门本捷网络股份有限公司,厦门市思明区,5000-8000,大专,2021-11-03 14:21
高级运维,厦门傲播网络科技有限公司,厦门市思明区,12000-20000,,2021-11-03 13:47
系统实施运维工程师,厦门海辰新能源科技有限公司,厦门市同安区、厦门市,6000-12000,,2021-11-03 13:12
IDC数据中心运维,厦门中横科技有限公司,厦门市,4500-7000,大专,2021-11-03 12:13
驻局系统运维工程师,厦门百旺金赋信息科技有限公司,厦门市,6000-10000,大专,2021-11-03 11:15
驻点运维工程师,卡斯尔（厦门）信息技术有限公司,厦门市,5000-7000,无,2021-11-03 10:13
网络运维工程师,中联信（福建）支付服务有限公司,厦门市思明区,6000-9000,本科,2021-11-03 08:57
运维工程师,厦门志诚精一管理咨询有限责任公司,厦门市,20000-30000,,2021-11-03 08:29
运维开发工程师,厦门志诚精一管理咨询有限责任公司,厦门市,25000-50000,,2021-11-03 08:29
运维经理,厦门合序软件有限公司,厦门市思明区,8000-15000,大专,2021-11-02 16:16
网络安全运维工程师,厦门市医鹭信息技术服务有限公司,厦门市、厦门市同安区、厦门市集美区、厦门市思明区、厦门市翔安区、厦门市湖里区、厦门市海沧区,5000-10000,大专,2021-11-02 15:50
运维实施工程师,百川信（厦门）人力资源服务科技有限公司,厦门市集美区,,,2021-11-02 14:35
java运维开发工程师,百川信（厦门）人力资源服务科技有限公司,南宁市,,大专,2021-11-02 14:35
linux运维开发工程师,厦门金蝶软件有限公司,厦门市,6000-12000,本科,2021-11-01 16:32
运维工程师,厦门投融汇网络有限公司,厦门市思明区,7000-8000,大专,2021-11-01 16:16
大数据运维工程师（软二）,厦门澜海人力资源顾问有限公司,厦门市,6000-10000,本科,2021-11-01 14:11
高级运维工程师,橙联（中国）有限公司,厦门市集美区,15000-20000,,2021-11-01 13:51
机房运维工程师（同安）,广东唯一网络科技有限公司,厦门市,4000-6000,,2021-11-01 09:10
