职位名称,公司名称,工作地点,参考月薪,学历,发布时间
视觉算法工程师,视瑞通（厦门）科技有限公司,厦门市,4000-8000,本科,2021-11-04 10:10
机器视觉算法工程师（OpenCV/Halcon）,雅马哈发动机（厦门）信息系统有限公司,厦门市集美区,6000-8000,本科,2021-11-04 10:05
图像算法工程师,雅马哈发动机（厦门）信息系统有限公司,厦门市集美区,8000-10000,,2021-11-04 10:05
图像算法工程师（应届生）,厦门福信光电集成有限公司,厦门市思明区,8000-15000,硕士研究生,2021-11-04 09:51
AI深度学习算法工程师,厦门福信光电集成有限公司,厦门市,,,2021-11-04 09:51
AI深度学习算法工程师（应届生）,厦门福信光电集成有限公司,厦门市,10000-20000,本科,2021-11-04 09:51
高级图像算法工程师,厦门福信光电集成有限公司,厦门市,10000-20000,本科,2021-11-04 09:51
图像算法工程师,厦门云之拓科技有限公司,厦门市海沧区,8000-15000,本科,2021-11-03 17:27
算法工程师,三维码（厦门）网络科技有限公司,厦门市,10000-20000,本科,2021-11-03 17:27
资深算法研究员,三维码（厦门）网络科技有限公司,北京市,15000-25000,硕士研究生,2021-11-03 17:27
C语言算法工程师,三维码（厦门）网络科技有限公司,厦门市湖里区,,本科,2021-11-03 17:27
机器学习算法工程师,厦门傲播网络科技有限公司,厦门市思明区,15000-20000,大专,2021-11-03 13:47
视觉算法工程师,厦门海力拓自动化科技有限公司,厦门市集美区,15000-20000,本科,2021-11-03 09:10
人工智能算法工程师,中科（厦门）数据智能研究院,厦门市集美区,11000-22000,本科,2021-11-03 09:07
人工智能算法工程师（base无锡）,中科（厦门）数据智能研究院,无锡市,12000-20000,硕士研究生,2021-11-03 09:07
NLP算法工程师,中科（厦门）数据智能研究院,厦门市集美区,11000-17000,硕士研究生,2021-11-03 09:07
NLP算法工程师（知识图谱方向）,中科（厦门）数据智能研究院,厦门市集美区,11000-22000,硕士研究生,2021-11-03 09:07
算法工程师,中科（厦门）数据智能研究院,厦门市集美区,10000-18000,本科,2021-11-03 09:07
算法专家,厦门志诚精一管理咨询有限责任公司,厦门市、福州市,50000-80000,,2021-11-03 08:29
电池算法工程师,厦门光莆电子股份有限公司,厦门市翔安区、厦门市思明区、厦门市,,大专,2021-11-02 09:43
智能驾驶算法工程师,福建中科云杉信息技术有限公司,厦门市、厦门市湖里区,15000-30000,硕士研究生,2021-11-01 16:03
雷达算法工程师,福建中科云杉信息技术有限公司,厦门市湖里区、深圳市,15000-30000,硕士研究生,2021-11-01 16:03
深度学习算法工程师,福建中科云杉信息技术有限公司,厦门市,15000-30000,本科,2021-11-01 16:03
算法工程师,福建中科云杉信息技术有限公司,厦门市,10000-20000,硕士研究生,2021-11-01 16:03
机器视觉算法工程师,福建中科云杉信息技术有限公司,厦门市、厦门市湖里区,10000-15000,硕士研究生,2021-11-01 16:03
算法工程师,厦门威迪思汽车设计服务有限公司,厦门市集美区,,本科,2021-11-01 10:15
算法工程师,厦门龙辉芯物联网科技有限公司,厦门市,10000-15000,本科,2021-10-31 17:03
搜索算法工程师,厦门卡伦特科技有限公司,厦门市集美区,8000-15000,本科,2021-10-30 17:03
C++算法工程师,福建自贸试验区厦门片区Manteia数据科技有限公司,厦门市思明区,10000-20000,本科,2021-10-29 17:34
初级算法工程师,南威软件集团,泉州市,,本科,2021-10-29 08:05
高级图像算法工程师,厦门博视源机器视觉技术有限公司,厦门市、厦门市集美区,8000-15000,本科,2021-10-28 09:55
AI算法工程师,睿云联（厦门）网络通讯技术有限公司,厦门市,10000-20000,本科,2021-10-27 14:03
SLAM算法工程师,广州南驰信息科技有限公司,厦门市思明区,13000-25000,本科,2021-10-27 13:00
3D算法工程师,广州南驰信息科技有限公司,厦门市思明区,13000-25000,本科,2021-10-27 13:00
高级计算机人算法工程师（力控）,厦门柏玛三创投资有限公司,上海市,15000-25000,,2021-10-27 10:29
算法工程师,双驰实业股份有限公司,福州市,15000-20000,硕士研究生,2021-10-25 16:27
算法工程师,岭纬科技（厦门）有限公司,厦门市思明区,15000-25000,,2021-10-25 15:17
算法工程师,厦门市美亚柏科信息股份有限公司,厦门市,15000-25000,本科,2021-10-25 13:19
算法集成工程师,厦门瑞德利校准检测技术有限公司,厦门市集美区,8000-15000,,2021-10-25 11:07
算法工程师,厦门立马耀网络科技有限公司,厦门市思明区,8000-12000,本科,2021-10-22 11:30
图像算法工程师,厦门骐俊物联科技股份有限公司,厦门市思明区,20000-30000,本科,2021-10-22 10:35
高级算法工程师,科技谷（厦门）信息技术有限公司,厦门市,20000-30000,本科,2021-10-22 10:07
算法工程师（2022校园招聘）-厦门,中电福富信息科技有限公司,厦门市思明区,6000-10000,本科,2021-10-21 16:13
算法工程师-福州,中电福富信息科技有限公司,福州市,10000-15000,硕士研究生,2021-10-21 16:13
高级计算机人算法工程师,厦门维尔斯人力资源管理有限公司,上海市,16000-30000,,2021-10-21 14:44
图像算法研发工程师（Python）,奥谱天成（厦门）光电有限公司,厦门市集美区,10000-20000,本科,2021-10-19 23:08
算法工程师,厦门久银信息技术有限公司,厦门市、厦门市思明区,15000-25000,硕士研究生,2021-10-19 10:26
算法工程师（机器学习）（2022届）,奥佳华智能健康科技集团股份有限公司,厦门市集美区,,硕士研究生,2021-10-11 09:40
算法工程师,奥佳华智能健康科技集团股份有限公司,厦门市,10000-15000,,2021-10-11 09:40
图像算法工程师,厦门力祺环境工程有限公司,厦门市、福建省、厦门市思明区,20000-30000,本科,2021-10-09 11:25
