职位名称,公司名称,工作地点,参考月薪,学历,发布时间
实习嵌入式软件开发工程师（在校生） [实习],厦门尚为科技股份有限公司,厦门市思明区,3800-4800,无,2021-11-03 09:24
嵌入式软件工程师,厦门尚为科技股份有限公司,厦门市思明区,6000-12000,本科,2021-11-03 09:24
嵌入式系统工程师,库玛（厦门）系统集成有限公司,厦门市湖里区,6000-10000,本科,2021-11-03 08:42
嵌入式软件工程师,库玛（厦门）系统集成有限公司,厦门市湖里区,6000-10000,本科,2021-11-03 08:42
嵌入式软件工程师,星宸科技股份有限公司,厦门市思明区,11000-17000,本科,2021-11-02 14:25
嵌入式软件工程师,九牧厨卫股份有限公司,厦门市思明区,,大专,2021-11-02 13:30
嵌入式开发工程师,厦门市军民融合协同创新研究院,厦门市,15000-20000,本科,2021-11-02 10:17
嵌入式硬件工程师 IOT工程师 智能,厦门光莆电子股份有限公司,厦门市翔安区,10000-16000,,2021-11-02 09:43
Linux嵌入式工程师,厦门海为科技有限公司,厦门市,,大专,2021-11-01 18:51
嵌入式软件工程师,厦门海为科技有限公司,厦门市翔安区,,本科,2021-11-01 18:51
嵌入式软件工程师,厦门才茂通信科技有限公司,厦门市集美区、厦门市,8000-15000,本科,2021-11-01 14:36
嵌入式软件工程师,厦门爱立得科技有限公司,厦门市集美区、厦门市,8000-13000,本科,2021-11-01 12:18
嵌入式软件工程师（Linux）,清源科技（厦门）股份有限公司,厦门市翔安区,12000-20000,本科,2021-11-01 11:19
嵌入式软件工程师（单片机）,清源科技（厦门）股份有限公司,厦门市、厦门市翔安区,12000-20000,本科,2021-11-01 11:19
中高级嵌入式软件工程师,成利吉（厦门）智能股份有限公司,厦门市,10000-20000,本科,2021-10-29 19:04
嵌入式软件开发工程师,厦门天翔园软件科技有限公司,厦门市思明区,6000-12000,本科,2021-10-29 13:36
嵌入式软件开发工程师,厦门码灵半导体技术有限公司,厦门市海沧区,10000-18000,本科,2021-10-29 09:38
嵌入式软件工程师,厦门筑云信息技术有限公司,厦门市集美区,8000-15000,本科,2021-10-28 16:56
嵌入式开发工程师,厦门融信汇网络科技有限公司,厦门市、厦门市湖里区,8000-15000,本科,2021-10-28 15:19
嵌入式软件工程师 / 单片机,奥谱天成（厦门）光电有限公司,厦门市集美区,8000-15000,本科,2021-10-27 17:49
嵌入式软件工程师/驱动工程师,睿云联（厦门）网络通讯技术有限公司,福州市,,本科,2021-10-27 14:03
嵌入式软件工程师,福建京奥通信技术有限公司,厦门市、厦门市翔安区,20000-40000,大专,2021-10-27 11:10
嵌入式开发工程师,罗普特科技集团股份有限公司,厦门市思明区,13000-23000,本科,2021-10-27 09:19
嵌入式软件开发工程师,厦门骐俊物联科技股份有限公司,厦门市思明区,,本科,2021-10-26 13:50
嵌入式软件工程师,厦门骐俊物联科技股份有限公司,厦门市思明区,5000-7000,本科,2021-10-26 13:50
嵌入式软件工程师,弗仕德（厦门）环保设备有限公司,厦门市湖里区,10000-20000,本科,2021-10-26 11:03
嵌入式软件工程师,厦门消安翔业科技有限公司,厦门市翔安区,8000-10000,大专,2021-10-25 16:18
嵌入式工程师,厦门人达科技有限公司,厦门市集美区,,,2021-10-25 10:33
嵌入式软件工程师,厦门万佳通科技有限公司,厦门市湖里区,5000-8000,本科,2021-10-22 16:55
嵌入式软件工程师,厦门蓝海环科仪器有限公司,厦门市集美区,5000-10000,本科,2021-10-18 14:04
嵌入式软件工程师,厦门纬尔科技有限公司,厦门市,8000-12000,本科,2021-10-17 17:14
高级嵌入式软件工程师,厦门纬尔科技有限公司,厦门市,12000-20000,本科,2021-10-17 17:14
嵌入式软件工程师,运动秀（厦门）信息科技有限公司,厦门市集美区,10000-20000,大专,2021-10-13 08:48
嵌入式软件开发工程师,厦门贝启科技有限公司,厦门市思明区,5000-10000,大专,2021-10-12 17:16
嵌入式软件工程师,康美特（厦门）智控科技有限公司,厦门市同安区,15000-30000,大专,2021-10-12 11:36
嵌入式软件研发工程师,西安得安信息技术有限公司,厦门市集美区,10000-15000,本科,2021-10-12 11:25
嵌入式Qt软件开发工程师,厦门喵宝科技有限公司,厦门市、厦门市集美区,15000-30000,本科,2021-10-12 11:22
【2022校园招聘】嵌入式软件开发工程师,佛吉亚歌乐电子（厦门）有限公司,厦门市思明区,7000-10000,本科,2021-10-11 14:47
嵌入式软件工程师,奥佳华智能健康科技集团股份有限公司,厦门市,10000-15000,本科,2021-10-11 09:40
