职位名称,公司名称,工作地点,参考月薪,学历,发布时间
产品经理/需求工程师,厦门海为科技有限公司,厦门市、厦门市翔安区,,大专,2021-11-01 18:51
产品经理(产品经理),厦门光箭科技有限公司,厦门市,6000-10000,本科,2021-11-01 13:33
教研产品经理,厦门爱立得科技有限公司,厦门市湖里区,12000-20000,本科,2021-11-01 12:18
产品经理（面向应届生）,福建自贸试验区厦门片区Manteia数据科技有限公司,厦门市思明区,8000-15000,本科,2021-10-29 17:34
产品经理(产品经理),厦门流通宝科技有限公司,厦门市、厦门市湖里区,5000-10000,,2021-10-28 17:12
产品经理(产品经理),网宿科技股份有限公司厦门分公司,厦门市集美区,12000-24000,本科,2021-10-28 10:51
高级产品经理,厦门牧云数据技术有限公司,厦门市、厦门市集美区,10000-20000,本科,2021-10-27 17:23
产品经理(产品经理),厦门华丽设计装修工程有限公司,厦门市,7000-9000,大专,2021-10-26 15:04
助理产品经理,厦门海晟融创信息技术有限公司,厦门市思明区,5000-8000,本科,2021-10-26 11:09
产品经理(产品经理),厦门市中易服信息科技有限公司,厦门市、厦门市湖里区、厦门市思明区,6500-11000,大专,2021-10-25 17:00
产品经理（SaaS平台）,厦门锐特信息技术有限公司,厦门市集美区,10000-20000,,2021-10-25 14:01
产品经理(产品经理),厦门海川润泽物联网科技有限公司,厦门市集美区,8000-15000,本科,2021-10-22 14:18
OA产品经理,厦门立马耀网络科技有限公司,厦门市、厦门市思明区,11000-20000,本科,2021-10-22 11:30
产品经理(产品经理),厦门立马耀网络科技有限公司,厦门市思明区,7000-10000,本科,2021-10-22 11:30
数据产品经理,厦门立马耀网络科技有限公司,厦门市思明区,15000-30000,本科,2021-10-22 11:30
PM/产品经理,厦门飞玥电子有限公司,深圳市,5000-9000,本科,2021-10-21 17:29
产品经理(产品经理),厦门市乐创信息科技有限公司,厦门市,8000-10000,大专,2021-10-19 10:06
高级\产品经理,厦门市科宇好康保科技有限公司,厦门市,,本科,2021-10-19 08:34
网络安全产品经理,厦门安胜网络科技有限公司,厦门市思明区,15000-20000,,2021-10-18 15:46
产品经理（云平台）,厦门创普云科技有限公司,厦门市、厦门市湖里区,6000-12000,大专,2021-10-13 19:30
产品经理(产品经理),厦门海晟融创信息技术有限公司,厦门市思明区,8000-16000,本科,2021-10-12 14:57
产品经理(产品经理),汉阳达（厦门）环保物资回收有限公司,厦门市、厦门市湖里区,8000-12000,大专,2021-10-11 10:24
